Time [s],Pressure [mbar],N injection,Time opening [ms],Tau injection [ms],Mass [g]
1619499573.021585,3555.750244140625,7.0,5.0,5000.0,0.029
1619499575.627164,3552.0,8.0,5.0,5000.0,0.03
1619499578.217157,3552.0,8.0,5.0,5000.0,0.028
1619499580.820593,3553.125244140625,9.0,5.0,5000.0,0.037
1619499583.410434,3553.5,9.0,5.0,5000.0,0.054
1619499586.008278,3550.125,10.0,5.0,5000.0,0.051
1619499588.604229,3551.25,10.0,5.0,5000.0,0.05
1619499591.200415,3552.75,11.0,5.0,5000.0,0.048
1619499593.805287,3552.374755859375,11.0,5.0,5000.0,0.049
1619499596.396292,3550.500244140625,12.0,5.0,5000.0,0.049
1619499598.993335,3552.75,12.0,5.0,5000.0,0.107
1619499601.593589,3555.375,13.0,5.0,5000.0,0.107
1619499604.193355,3549.0,13.0,5.0,5000.0,0.107
1619499606.783362,3550.500244140625,14.0,5.0,5000.0,0.107
1619499609.382251,3553.875,14.0,5.0,5000.0,0.107
1619499611.983001,3550.875,15.0,5.0,5000.0,0.106
1619499614.609406,3552.75,15.0,5.0,5000.0,0.132
1619499617.229326,3551.625,16.0,5.0,5000.0,0.132
1619499619.821593,3550.125,16.0,5.0,5000.0,0.131
1619499622.420068,3549.0,17.0,5.0,5000.0,0.132
1619499625.017199,3550.500244140625,17.0,5.0,5000.0,0.132
1619499627.615574,3549.375,18.0,5.0,5000.0,0.131
1619499630.209744,3551.25,19.0,5.0,5000.0,0.131
1619499632.810364,3550.875,19.0,5.0,5000.0,0.13
1619499635.406218,3549.749755859375,20.0,5.0,5000.0,0.137
1619499638.003961,3550.500244140625,20.0,5.0,5000.0,0.171
1619499640.603105,3553.5,21.0,5.0,5000.0,0.18
1619499643.195532,3552.75,21.0,5.0,5000.0,0.18
1619499645.793515,3551.25,22.0,5.0,5000.0,0.188
1619499648.396312,3553.5,22.0,5.0,5000.0,0.188
1619499650.987975,3552.0,23.0,5.0,5000.0,0.245
1619499653.587281,3550.875,23.0,5.0,5000.0,0.245
1619499656.183593,3554.25,24.0,5.0,5000.0,0.245
1619499658.783176,3550.500244140625,24.0,5.0,5000.0,0.245
1619499661.376465,3553.5,25.0,5.0,5000.0,0.244
1619499663.972057,3549.749755859375,25.0,5.0,5000.0,0.253
1619499666.576966,3549.749755859375,26.0,5.0,5000.0,0.252
1619499669.169516,3549.0,26.0,5.0,5000.0,0.27
1619499671.765501,3547.875244140625,27.0,5.0,5000.0,0.27
1619499674.361391,3552.0,27.0,5.0,5000.0,0.278
1619499676.964407,3551.25,28.0,5.0,5000.0,0.278
1619499679.559689,3551.625,28.0,5.0,5000.0,0.278
1619499682.152187,3550.875,29.0,5.0,5000.0,0.278
1619499684.753245,3551.25,29.0,5.0,5000.0,0.277
1619499687.349175,3550.875,30.0,5.0,5000.0,0.277
1619499689.944847,3553.875,30.0,5.0,5000.0,0.278
1619499692.546174,3551.625,31.0,5.0,5000.0,0.277
1619499695.142582,3552.374755859375,32.0,5.0,5000.0,0.276
1619499697.738115,3547.5,32.0,5.0,5000.0,0.275
1619499700.333356,3550.125,33.0,5.0,5000.0,0.275
1619499702.929901,3550.125,33.0,5.0,5000.0,0.275
1619499705.530112,3548.625,34.0,5.0,5000.0,0.274
1619499708.124925,3546.375,34.0,5.0,5000.0,0.274
1619499710.724551,3549.749755859375,35.0,5.0,5000.0,0.284
1619499713.323455,3551.625,35.0,5.0,5000.0,0.284
1619499715.88847,3549.375,36.0,5.0,5000.0,0.321
1619499718.519145,3549.375,36.0,5.0,5000.0,0.321
1619499721.118977,3547.124755859375,37.0,5.0,5000.0,0.32
1619499723.707637,3548.25,37.0,5.0,5000.0,0.36
1619499726.306253,3552.75,38.0,5.0,5000.0,0.359
1619499728.904961,3547.124755859375,38.0,5.0,5000.0,0.387
1619499731.502761,3550.500244140625,39.0,5.0,5000.0,0.387
1619499734.098639,3546.75,39.0,5.0,5000.0,0.388
1619499736.695435,3547.124755859375,40.0,5.0,5000.0,0.388
1619499739.292622,3551.625,40.0,5.0,5000.0,0.387
1619499741.885332,3552.0,41.0,5.0,5000.0,0.387
1619499744.490913,3553.125244140625,41.0,5.0,5000.0,0.39
1619499747.085513,3550.125,42.0,5.0,5000.0,0.392
1619499749.685892,3549.749755859375,42.0,5.0,5000.0,0.409
1619499752.277897,3548.25,43.0,5.0,5000.0,0.409
1619499754.878971,3550.500244140625,43.0,5.0,5000.0,0.46
1619499757.478764,3550.875,44.0,5.0,5000.0,0.46
1619499760.066742,3547.5,44.0,5.0,5000.0,0.482
1619499762.668265,3547.875244140625,45.0,5.0,5000.0,0.482
1619499765.26913,3547.875244140625,46.0,5.0,5000.0,0.502
1619499767.85954,3550.125,46.0,5.0,5000.0,0.502
1619499770.461331,3551.25,47.0,5.0,5000.0,0.516
1619499773.061516,3546.75,47.0,5.0,5000.0,0.516
1619499775.658026,3547.5,48.0,5.0,5000.0,0.516
1619499778.248081,3546.375,48.0,5.0,5000.0,0.517
1619499780.850674,3546.000244140625,49.0,5.0,5000.0,0.524
1619499783.44643,3549.0,49.0,5.0,5000.0,0.546
1619499786.040657,3547.5,50.0,5.0,5000.0,0.54
1619499788.637676,3547.5,50.0,5.0,5000.0,0.541
1619499791.241235,3544.875,51.0,5.0,5000.0,0.55
1619499793.835453,3549.0,51.0,5.0,5000.0,0.562
1619499796.43694,3547.875244140625,52.0,5.0,5000.0,0.561
1619499799.030428,3549.0,52.0,5.0,5000.0,0.579
1619499801.629391,3552.0,53.0,5.0,5000.0,0.583
1619499804.225516,3548.25,53.0,5.0,5000.0,0.609
1619499806.820354,3547.875244140625,54.0,5.0,5000.0,0.607
1619499809.41894,3549.375,54.0,5.0,5000.0,0.634
1619499812.012494,3548.625,55.0,5.0,5000.0,0.634
1619499814.610692,3544.499755859375,55.0,5.0,5000.0,0.656
1619499817.207766,3548.625,56.0,5.0,5000.0,0.654
1619499819.802025,3549.0,56.0,5.0,5000.0,0.667
1619499822.407855,3545.625,57.0,5.0,5000.0,0.665
1619499825.002451,3547.875244140625,57.0,5.0,5000.0,0.675
1619499827.596733,3547.5,58.0,5.0,5000.0,0.674
1619499830.19463,3546.75,59.0,5.0,5000.0,0.675
1619499832.795063,3545.250244140625,59.0,5.0,5000.0,0.731
1619499835.390321,3547.5,60.0,5.0,5000.0,0.731
1619499837.986593,3545.250244140625,60.0,5.0,5000.0,0.731
1619499840.586485,3548.625,61.0,5.0,5000.0,0.73
1619499843.181402,3547.124755859375,61.0,5.0,5000.0,0.729
1619499845.778923,3546.75,62.0,5.0,5000.0,0.729
1619499848.374677,3545.250244140625,62.0,5.0,5000.0,0.729
1619499850.97326,3543.375244140625,63.0,5.0,5000.0,0.73
1619499853.568317,3546.75,63.0,5.0,5000.0,0.729
1619499856.167444,3548.625,64.0,5.0,5000.0,0.729
1619499858.764891,3547.5,64.0,5.0,5000.0,0.761
1619499861.364291,3545.250244140625,65.0,5.0,5000.0,0.761
1619499863.957486,3549.375,65.0,5.0,5000.0,0.792
1619499866.557315,3548.625,66.0,5.0,5000.0,0.792
1619499869.152883,3547.124755859375,66.0,5.0,5000.0,0.799
1619499871.749027,3546.75,67.0,5.0,5000.0,0.833
1619499874.350919,3545.625,67.0,5.0,5000.0,0.849
1619499876.941379,3547.875244140625,68.0,5.0,5000.0,0.849
1619499879.538524,3549.375,68.0,5.0,5000.0,0.865
1619499882.143767,3548.25,69.0,5.0,5000.0,0.863
1619499884.735399,3544.125,69.0,5.0,5000.0,0.887
1619499887.33273,3547.875244140625,70.0,5.0,5000.0,0.895
1619499889.929651,3545.625,70.0,5.0,5000.0,0.886
1619499892.534718,3544.499755859375,71.0,5.0,5000.0,0.885
1619499895.124497,3546.375,72.0,5.0,5000.0,0.905
1619499897.719691,3544.875,72.0,5.0,5000.0,0.903
1619499900.321099,3547.124755859375,73.0,5.0,5000.0,0.913
1619499902.919471,3546.75,73.0,5.0,5000.0,0.913
1619499905.51673,3549.375,74.0,5.0,5000.0,0.92
1619499908.112281,3543.75,74.0,5.0,5000.0,0.92
1619499910.708839,3545.250244140625,75.0,5.0,5000.0,0.921
1619499913.308837,3546.75,75.0,5.0,5000.0,0.92
1619499915.903509,3546.375,76.0,5.0,5000.0,0.919
1619499918.503151,3544.875,76.0,5.0,5000.0,0.919
1619499921.101032,3544.875,77.0,5.0,5000.0,0.919
1619499923.691712,3549.0,77.0,5.0,5000.0,0.919
1619499926.295414,3545.625,78.0,5.0,5000.0,0.953
1619499928.891385,3543.375244140625,78.0,5.0,5000.0,0.976
1619499931.486734,3543.75,79.0,5.0,5000.0,0.976
1619499934.037499,3546.375,79.0,5.0,5000.0,0.986
1619499936.631991,3545.250244140625,80.0,5.0,5000.0,0.986
1619499939.228629,3546.000244140625,80.0,5.0,5000.0,1.004
1619499941.82777,3546.000244140625,81.0,5.0,5000.0,1.003
1619499944.419727,3543.75,81.0,5.0,5000.0,1.014
1619499947.023159,3544.499755859375,82.0,5.0,5000.0,1.014
1619499949.617047,3544.875,82.0,5.0,5000.0,1.025
1619499952.217288,3543.375244140625,83.0,5.0,5000.0,1.024
1619499954.809319,3545.250244140625,83.0,5.0,5000.0,1.069
1619499957.411881,3542.25,84.0,5.0,5000.0,1.067
1619499960.005926,3543.375244140625,84.0,5.0,5000.0,1.066
1619499962.60021,3544.499755859375,85.0,5.0,5000.0,1.066
1619499965.202285,3541.125,86.0,5.0,5000.0,1.111
1619499967.796384,3544.125,86.0,5.0,5000.0,1.112
1619499970.39065,3544.499755859375,87.0,5.0,5000.0,1.111
1619499972.994257,3543.75,87.0,5.0,5000.0,1.112
1619499975.588396,3543.0,88.0,5.0,5000.0,1.154
1619499978.187457,3545.625,88.0,5.0,5000.0,1.152
1619499980.784682,3544.125,89.0,5.0,5000.0,1.152
1619499983.380796,3544.499755859375,89.0,5.0,5000.0,1.152
1619499985.977014,3545.250244140625,90.0,5.0,5000.0,1.215
1619499988.571523,3544.875,90.0,5.0,5000.0,1.215
1619499991.207206,3543.375244140625,91.0,5.0,5000.0,1.215
1619499993.82064,3541.5,91.0,5.0,5000.0,1.216
1619499996.446853,3543.75,92.0,5.0,5000.0,1.215
1619499999.063496,3542.624755859375,92.0,5.0,5000.0,1.214
1619500001.661839,3544.499755859375,93.0,5.0,5000.0,1.215
1619500004.260244,3544.125,93.0,5.0,5000.0,1.215
1619500006.864223,3543.375244140625,94.0,5.0,5000.0,1.214
1619500009.451951,3544.125,94.0,5.0,5000.0,1.213
1619500012.05084,3546.75,95.0,5.0,5000.0,1.214
1619500014.645541,3544.875,95.0,5.0,5000.0,1.247
1619500017.244837,3543.375244140625,96.0,5.0,5000.0,1.247
1619500019.843319,3544.125,96.0,5.0,5000.0,1.263
1619500022.440315,3545.625,97.0,5.0,5000.0,1.263
1619500025.035659,3543.0,97.0,5.0,5000.0,1.263
1619500027.635391,3541.125,98.0,5.0,5000.0,1.263
1619500030.229998,3542.624755859375,99.0,5.0,5000.0,1.263
1619500032.837786,3543.0,99.0,5.0,5000.0,1.263
1619500035.428973,3544.125,100.0,5.0,5000.0,1.282
1619500038.021909,3543.375244140625,100.0,5.0,5000.0,1.282
1619500040.618653,3541.875,101.0,5.0,5000.0,1.287
1619500043.218471,3541.875,101.0,5.0,5000.0,1.287
1619500045.814725,3541.5,102.0,5.0,5000.0,1.327
1619500048.410212,3544.125,102.0,5.0,5000.0,1.327
1619500051.007329,3543.375244140625,103.0,5.0,5000.0,1.353
1619500053.605615,3543.0,103.0,5.0,5000.0,1.365
1619500056.203989,3543.0,104.0,5.0,5000.0,1.365
1619500058.799087,3543.375244140625,104.0,5.0,5000.0,1.378
1619500061.398693,3541.125,105.0,5.0,5000.0,1.377
1619500063.989385,3543.375244140625,105.0,5.0,5000.0,1.376
1619500066.593831,3542.624755859375,106.0,5.0,5000.0,1.376
1619500069.187623,3543.0,106.0,5.0,5000.0,1.405
1619500071.786896,3542.624755859375,107.0,5.0,5000.0,1.405
1619500074.381041,3543.75,107.0,5.0,5000.0,1.47
1619500076.978329,3542.624755859375,108.0,5.0,5000.0,1.469
1619500079.574532,3542.624755859375,108.0,5.0,5000.0,1.477
1619500082.176802,3541.5,109.0,5.0,5000.0,1.477
1619500084.768148,3541.5,109.0,5.0,5000.0,1.477
1619500087.369265,3543.75,110.0,5.0,5000.0,1.477
1619500089.96523,3543.75,110.0,5.0,5000.0,1.477
1619500092.56439,3541.875,111.0,5.0,5000.0,1.477
1619500095.187476,3541.875,112.0,5.0,5000.0,1.477
1619500097.806649,3539.625,112.0,5.0,5000.0,1.476
1619500100.404461,3540.375,113.0,5.0,5000.0,1.476
1619500103.015246,3544.499755859375,113.0,5.0,5000.0,1.476
1619500105.649737,3539.25,114.0,5.0,5000.0,1.501
1619500108.252717,3540.750244140625,114.0,5.0,5000.0,1.501
1619500110.84687,3542.624755859375,115.0,5.0,5000.0,1.522
1619500113.445516,3541.5,115.0,5.0,5000.0,1.555
1619500116.03866,3540.375,116.0,5.0,5000.0,1.552
1619500118.635586,3540.750244140625,116.0,5.0,5000.0,1.552
1619500121.229779,3542.624755859375,117.0,5.0,5000.0,1.551
1619500123.831109,3542.25,117.0,5.0,5000.0,1.551
1619500126.425957,3541.5,118.0,5.0,5000.0,1.584
1619500129.02163,3541.875,118.0,5.0,5000.0,1.6
1619500131.62536,3539.25,119.0,5.0,5000.0,1.599
1619500134.217118,3538.875,119.0,5.0,5000.0,1.599
1619500136.815488,3543.0,120.0,5.0,5000.0,1.599
1619500139.409879,3539.25,120.0,5.0,5000.0,1.598
1619500142.00998,3541.875,121.0,5.0,5000.0,1.675
1619500144.605638,3540.750244140625,121.0,5.0,5000.0,1.675
1619500147.206498,3540.750244140625,122.0,5.0,5000.0,1.675
1619500149.802034,3538.875,122.0,5.0,5000.0,1.674
1619500152.398678,3541.125,123.0,5.0,5000.0,1.674
1619500154.994926,3541.125,123.0,5.0,5000.0,1.687
