Time [s],Pressure [mbar],N injection,Time opening [ms],Tau injection [ms],Mass [g]
1619698869.478915,2194.5,16.0,5.0,5000.0,0.079
1619698872.143224,2194.5,16.0,5.0,5000.0,0.0
1619698874.736337,2194.875,17.0,5.0,5000.0,-0.001
1619698877.348089,2194.5,17.0,5.0,5000.0,0.0
1619698879.97898,2194.5,18.0,5.0,5000.0,-0.001
1619698882.57569,2194.5,18.0,5.0,5000.0,0.079
1619698885.174189,2194.5,19.0,5.0,5000.0,0.077
1619698887.769409,2194.5,19.0,5.0,5000.0,0.078
1619698890.370129,2194.875,20.0,5.0,5000.0,0.077
1619698892.962557,2194.5,20.0,5.0,5000.0,0.077
1619698895.564296,2194.5,21.0,5.0,5000.0,0.079
1619698898.160946,2194.5,22.0,5.0,5000.0,0.078
1619698900.755956,2194.5,22.0,5.0,5000.0,0.077
1619698903.35749,2194.5,23.0,5.0,5000.0,0.077
1619698905.948975,2194.125,23.0,5.0,5000.0,0.076
1619698908.545414,2194.5,24.0,5.0,5000.0,0.153
1619698911.149084,2194.125,24.0,5.0,5000.0,0.156
1619698913.741073,2194.125,25.0,5.0,5000.0,0.157
1619698916.336901,2194.125,25.0,5.0,5000.0,0.157
1619698918.93786,2194.125,26.0,5.0,5000.0,0.157
1619698921.53251,2194.5,26.0,5.0,5000.0,0.156
1619698924.128536,2194.5,27.0,5.0,5000.0,0.156
1619698926.726568,2194.125,27.0,5.0,5000.0,0.155
1619698929.322966,2194.125,28.0,5.0,5000.0,0.155
1619698931.919531,2194.5,28.0,5.0,5000.0,0.237
1619698934.514035,2194.125,29.0,5.0,5000.0,0.238
1619698937.110677,2194.125,29.0,5.0,5000.0,0.238
1619698939.711442,2194.125,30.0,5.0,5000.0,0.236
1619698942.320422,2194.125,30.0,5.0,5000.0,0.235
1619698944.954264,2194.125,31.0,5.0,5000.0,0.237
1619698947.553577,2194.125,31.0,5.0,5000.0,0.236
1619698950.146547,2193.75,32.0,5.0,5000.0,0.236
1619698952.75005,2194.125,32.0,5.0,5000.0,0.236
1619698955.344897,2194.125,33.0,5.0,5000.0,0.236
1619698957.937526,2194.125,33.0,5.0,5000.0,0.235
1619698960.535695,2193.75,34.0,5.0,5000.0,0.235
1619698963.136238,2194.125,35.0,5.0,5000.0,0.315
1619698965.731214,2193.75,35.0,5.0,5000.0,0.315
1619698968.329495,2193.75,36.0,5.0,5000.0,0.315
1619698970.924277,2194.125,36.0,5.0,5000.0,0.313
1619698973.52346,2193.75,37.0,5.0,5000.0,0.313
1619698976.122292,2193.75,37.0,5.0,5000.0,0.314
1619698978.714615,2194.125,38.0,5.0,5000.0,0.313
1619698981.315545,2193.75,38.0,5.0,5000.0,0.313
1619698983.911729,2193.75,39.0,5.0,5000.0,0.313
1619698986.507924,2193.75,39.0,5.0,5000.0,0.313
1619698989.104703,2193.75,40.0,5.0,5000.0,0.313
1619698991.705139,2193.75,40.0,5.0,5000.0,0.399
1619698994.29974,2193.75,41.0,5.0,5000.0,0.397
1619698996.89876,2193.75,41.0,5.0,5000.0,0.397
1619698999.490812,2193.75,42.0,5.0,5000.0,0.397
1619699002.091129,2193.75,42.0,5.0,5000.0,0.397
1619699004.687947,2193.75,43.0,5.0,5000.0,0.397
1619699007.28481,2193.75,43.0,5.0,5000.0,0.396
1619699009.884288,2193.75,44.0,5.0,5000.0,0.396
1619699012.478061,2193.75,44.0,5.0,5000.0,0.479
1619699015.076943,2193.375,45.0,5.0,5000.0,0.479
1619699017.673367,2193.375,45.0,5.0,5000.0,0.479
1619699020.269408,2193.375,46.0,5.0,5000.0,0.479
1619699022.869933,2193.375,46.0,5.0,5000.0,0.479
1619699025.462656,2193.375,47.0,5.0,5000.0,0.479
1619699028.061132,2193.375,47.0,5.0,5000.0,0.479
1619699030.659086,2193.375,48.0,5.0,5000.0,0.479
1619699033.256642,2193.375,49.0,5.0,5000.0,0.479
1619699035.854221,2193.375,49.0,5.0,5000.0,0.479
1619699038.450621,2193.375,50.0,5.0,5000.0,0.479
1619699041.0495,2193.75,50.0,5.0,5000.0,0.478
1619699043.64212,2193.375,51.0,5.0,5000.0,0.56
1619699046.239121,2193.375,51.0,5.0,5000.0,0.56
1619699048.839233,2193.0,52.0,5.0,5000.0,0.56
1619699051.439795,2193.375,52.0,5.0,5000.0,0.559
1619699054.031393,2193.375,53.0,5.0,5000.0,0.559
1619699056.612176,2193.375,53.0,5.0,5000.0,0.559
1619699059.227919,2193.375,54.0,5.0,5000.0,0.559
