Time [s],Pressure [mbar],N injection,Time opening [ms],Tau injection [ms],Mass [g]
1619598873.180665,2681.625,3.0,5.0,5000.0,-0.011
1619598875.792137,2681.625,4.0,5.0,5000.0,-0.011
1619598878.386541,2680.875,4.0,5.0,5000.0,-0.01
1619598880.992162,2681.25,5.0,5.0,5000.0,-0.01
1619598883.585042,2681.25,5.0,5.0,5000.0,-0.011
1619598886.181013,2680.875,6.0,5.0,5000.0,-0.011
1619598888.77871,2681.25,6.0,5.0,5000.0,-0.01
1619598891.376856,2681.25,7.0,5.0,5000.0,-0.011
1619598893.971269,2680.875,7.0,5.0,5000.0,-0.011
1619598896.56808,2681.25,8.0,5.0,5000.0,-0.012
1619598899.171814,2680.875,8.0,5.0,5000.0,-0.012
1619598901.767997,2680.875,9.0,5.0,5000.0,0.057
1619598904.359759,2680.875,9.0,5.0,5000.0,0.057
1619598906.965682,2680.875,10.0,5.0,5000.0,0.057
1619598909.556269,2681.25,10.0,5.0,5000.0,0.057
1619598912.158749,2680.5,11.0,5.0,5000.0,0.057
1619598914.753536,2680.125,11.0,5.0,5000.0,0.057
1619598917.349706,2680.125,12.0,5.0,5000.0,0.056
1619598919.94528,2681.25,12.0,5.0,5000.0,0.056
1619598922.541787,2680.5,13.0,5.0,5000.0,0.055
1619598925.147021,2680.875,13.0,5.0,5000.0,0.055
1619598927.738439,2680.875,14.0,5.0,5000.0,0.126
1619598930.333191,2680.5,14.0,5.0,5000.0,0.126
1619598932.929774,2680.875,15.0,5.0,5000.0,0.126
1619598935.528927,2680.5,16.0,5.0,5000.0,0.126
1619598938.121581,2680.875,16.0,5.0,5000.0,0.126
1619598940.720638,2680.125,17.0,5.0,5000.0,0.125
1619598943.323837,2680.5,17.0,5.0,5000.0,0.124
1619598945.914263,2679.75,18.0,5.0,5000.0,0.123
1619598948.511792,2680.125,18.0,5.0,5000.0,0.124
1619598951.111655,2679.75,19.0,5.0,5000.0,0.198
1619598953.711776,2680.5,19.0,5.0,5000.0,0.197
1619598956.306591,2681.25,20.0,5.0,5000.0,0.198
1619598958.897831,2680.5,20.0,5.0,5000.0,0.197
1619598961.502578,2680.125,21.0,5.0,5000.0,0.197
1619598964.091334,2680.5,21.0,5.0,5000.0,0.197
1619598966.695144,2680.125,22.0,5.0,5000.0,0.197
1619598969.287531,2680.125,22.0,5.0,5000.0,0.199
1619598971.884091,2680.125,23.0,5.0,5000.0,0.199
1619598974.485144,2680.125,23.0,5.0,5000.0,0.274
1619598977.078565,2680.5,24.0,5.0,5000.0,0.274
1619598979.682435,2680.125,24.0,5.0,5000.0,0.274
1619598982.276001,2680.125,25.0,5.0,5000.0,0.273
1619598984.876394,2680.125,25.0,5.0,5000.0,0.273
1619598987.467344,2680.125,26.0,5.0,5000.0,0.272
1619598990.06802,2679.75,26.0,5.0,5000.0,0.272
1619598992.667312,2680.125,27.0,5.0,5000.0,0.272
1619598995.259258,2679.375,27.0,5.0,5000.0,0.273
1619598997.862067,2679.75,28.0,5.0,5000.0,0.349
1619599000.462225,2679.75,28.0,5.0,5000.0,0.349
1619599003.049662,2680.125,29.0,5.0,5000.0,0.348
1619599005.646672,2679.75,30.0,5.0,5000.0,0.348
1619599008.249365,2679.75,30.0,5.0,5000.0,0.348
1619599010.847407,2680.125,31.0,5.0,5000.0,0.348
1619599013.395104,2679.375,31.0,5.0,5000.0,0.427
1619599015.990851,2679.75,32.0,5.0,5000.0,0.427
1619599018.583434,2679.375,32.0,5.0,5000.0,0.427
1619599021.182755,2679.375,33.0,5.0,5000.0,0.426
1619599023.778224,2679.75,33.0,5.0,5000.0,0.426
1619599026.37983,2679.75,34.0,5.0,5000.0,0.425
1619599028.968402,2679.375,34.0,5.0,5000.0,0.425
1619599031.530539,2679.75,35.0,5.0,5000.0,0.426
1619599034.120481,2679.375,35.0,5.0,5000.0,0.426
1619599036.718608,2679.75,36.0,5.0,5000.0,0.426
1619599039.314523,2680.125,36.0,5.0,5000.0,0.506
1619599041.919425,2679.75,37.0,5.0,5000.0,0.506
1619599044.513416,2679.375,37.0,5.0,5000.0,0.506
1619599047.110234,2679.75,38.0,5.0,5000.0,0.506
1619599049.702107,2679.0,38.0,5.0,5000.0,0.505
1619599052.297478,2680.5,39.0,5.0,5000.0,0.505
1619599054.896713,2679.375,39.0,5.0,5000.0,0.505
1619599057.497049,2679.375,40.0,5.0,5000.0,0.505
1619599060.089538,2679.0,40.0,5.0,5000.0,0.585
1619599062.688591,2678.625,41.0,5.0,5000.0,0.585
1619599065.287167,2680.125,41.0,5.0,5000.0,0.585
1619599067.882264,2679.0,42.0,5.0,5000.0,0.585
1619599070.481073,2678.625,42.0,5.0,5000.0,0.585
1619599073.078262,2680.5,43.0,5.0,5000.0,0.585
1619599075.67226,2679.375,44.0,5.0,5000.0,0.585
1619599078.26736,2679.0,44.0,5.0,5000.0,0.584
1619599080.862382,2680.125,45.0,5.0,5000.0,0.665
1619599083.46843,2679.0,45.0,5.0,5000.0,0.665
1619599086.062124,2679.0,46.0,5.0,5000.0,0.665
1619599088.658573,2678.625,46.0,5.0,5000.0,0.665
1619599091.25699,2679.0,47.0,5.0,5000.0,0.665
1619599093.850083,2679.0,47.0,5.0,5000.0,0.665
1619599096.44849,2679.375,48.0,5.0,5000.0,0.665
1619599099.045652,2679.375,48.0,5.0,5000.0,0.664
1619599101.645788,2678.25,49.0,5.0,5000.0,0.664
1619599104.245129,2679.375,49.0,5.0,5000.0,0.745
1619599106.833859,2679.0,50.0,5.0,5000.0,0.745
1619599109.438401,2679.375,50.0,5.0,5000.0,0.745
1619599112.031633,2678.625,51.0,5.0,5000.0,0.745
1619599114.627366,2679.0,51.0,5.0,5000.0,0.745
1619599117.223974,2679.0,52.0,5.0,5000.0,0.744
1619599119.824142,2677.5,52.0,5.0,5000.0,0.744
1619599122.423852,2678.625,53.0,5.0,5000.0,0.744
1619599125.016205,2678.25,53.0,5.0,5000.0,0.744
