"Time","MASSFLOW"
2021-05-14 06:15:51,489
2021-05-14 06:16:51,495
2021-05-14 06:17:51,500
2021-05-14 06:18:52,502
2021-05-14 06:19:52,503
2021-05-14 06:20:52,507
2021-05-14 06:21:52,509
2021-05-14 06:22:52,509
2021-05-14 06:23:52,507
2021-05-14 06:24:52,505
2021-05-14 06:25:52,502
2021-05-14 06:26:53,495
2021-05-14 06:27:53,490
2021-05-14 06:28:53,488
2021-05-14 06:29:53,495
2021-05-14 06:30:53,495
2021-05-14 06:31:53,491
2021-05-14 06:32:53,489
2021-05-14 06:33:53,494
2021-05-14 06:34:54,503
2021-05-14 06:35:54,514
2021-05-14 06:36:54,525
2021-05-14 06:37:54,537
2021-05-14 06:38:54,544
2021-05-14 06:39:54,545
2021-05-14 06:40:54,554
2021-05-14 06:41:55,568
2021-05-14 06:42:55,578
2021-05-14 06:43:55,586
2021-05-14 06:44:55,595
2021-05-14 06:45:55,599
2021-05-14 06:46:55,601
2021-05-14 06:47:55,606
2021-05-14 06:48:55,614
2021-05-14 06:49:56,621
2021-05-14 06:50:56,628
2021-05-14 06:51:56,637
2021-05-14 06:52:56,643
2021-05-14 06:53:56,645
2021-05-14 06:54:56,648
2021-05-14 06:55:56,655
2021-05-14 06:56:56,659
2021-05-14 06:57:57,661
2021-05-14 06:58:57,663
2021-05-14 06:59:57,662
2021-05-14 07:00:57,657
2021-05-14 07:01:57,650
2021-05-14 07:02:57,652
2021-05-14 07:03:57,657
2021-05-14 07:04:57,662
2021-05-14 07:05:58,672
2021-05-14 07:06:58,676
2021-05-14 07:07:58,678
2021-05-14 07:08:58,685
2021-05-14 07:09:58,692
2021-05-14 07:10:58,697
2021-05-14 07:11:58,704
2021-05-14 07:12:58,710
2021-05-14 07:13:59,709
2021-05-14 07:14:59,702
2021-05-14 07:15:59,694
2021-05-14 07:16:59,695
2021-05-14 07:17:59,694
2021-05-14 07:18:59,694
2021-05-14 07:19:59,698
2021-05-14 07:20:59,698
2021-05-14 07:22:00,693
2021-05-14 07:23:00,688
2021-05-14 07:24:00,686
2021-05-14 07:25:00,685
2021-05-14 07:26:00,682
2021-05-14 07:27:00,676
2021-05-14 07:28:01,662
2021-05-14 07:29:01,641
2021-05-14 07:30:01,624
2021-05-14 07:31:01,611
2021-05-14 07:32:01,600
2021-05-14 07:33:01,593
2021-05-14 07:34:01,584
2021-05-14 07:35:01,574
2021-05-14 07:36:02,563
2021-05-14 07:37:02,555
2021-05-14 07:38:02,558
2021-05-14 07:39:02,563
2021-05-14 07:40:02,572
2021-05-14 07:41:02,577
2021-05-14 07:42:02,580
2021-05-14 07:43:02,579
2021-05-14 07:44:03,580
2021-05-14 07:45:03,579
2021-05-14 07:46:03,580
2021-05-14 07:47:03,584
2021-05-14 07:48:03,587
2021-05-14 07:49:03,585
2021-05-14 07:50:03,579
2021-05-14 07:51:04,577
2021-05-14 07:52:04,572
2021-05-14 07:53:04,569
2021-05-14 07:54:04,573
2021-05-14 07:55:04,576
2021-05-14 07:56:04,576
2021-05-14 07:57:05,572
2021-05-14 07:58:05,571
2021-05-14 07:59:05,572
2021-05-14 08:00:05,577
2021-05-14 08:01:05,586
2021-05-14 08:02:05,585
2021-05-14 08:03:05,578
2021-05-14 08:04:05,567
2021-05-14 08:05:06,559
2021-05-14 08:06:06,553
2021-05-14 08:07:06,549
2021-05-14 08:08:06,545
2021-05-14 08:09:06,536
2021-05-14 08:10:06,527
2021-05-14 08:11:06,517
2021-05-14 08:12:07,516
2021-05-14 08:13:07,518
2021-05-14 08:14:07,528
2021-05-14 08:15:07,540
2021-05-14 08:16:07,544
2021-05-14 08:17:07,545
2021-05-14 08:18:07,540
2021-05-14 08:19:07,539
2021-05-14 08:20:08,539
2021-05-14 08:21:08,543
2021-05-14 08:22:08,550
2021-05-14 08:23:08,553
