"Time","MASSFLOW"
2021-05-17 06:15:51,485
2021-05-17 06:16:51,489
2021-05-17 06:17:51,495
2021-05-17 06:18:52,502
2021-05-17 06:19:52,509
2021-05-17 06:20:52,511
2021-05-17 06:21:52,512
2021-05-17 06:22:52,513
2021-05-17 06:23:52,509
2021-05-17 06:24:52,507
2021-05-17 06:25:53,503
2021-05-17 06:26:53,499
2021-05-17 06:27:53,499
2021-05-17 06:28:53,497
2021-05-17 06:29:53,494
2021-05-17 06:30:53,490
2021-05-17 06:31:53,483
2021-05-17 06:32:53,480
2021-05-17 06:33:54,486
2021-05-17 06:34:54,492
2021-05-17 06:35:54,497
2021-05-17 06:36:54,501
2021-05-17 06:37:54,500
2021-05-17 06:38:54,501
2021-05-17 06:39:54,503
2021-05-17 06:40:54,505
2021-05-17 06:41:55,509
2021-05-17 06:42:55,511
2021-05-17 06:43:55,511
2021-05-17 06:44:55,509
2021-05-17 06:45:55,506
2021-05-17 06:46:55,506
2021-05-17 06:47:55,512
2021-05-17 06:48:55,518
2021-05-17 06:49:55,522
2021-05-17 06:50:56,524
2021-05-17 06:51:56,525
2021-05-17 06:52:56,526
2021-05-17 06:53:56,524
2021-05-17 06:54:56,521
2021-05-17 06:55:56,515
2021-05-17 06:56:56,505
2021-05-17 06:57:56,489
2021-05-17 06:58:57,471
2021-05-17 06:59:57,456
2021-05-17 07:00:57,448
2021-05-17 07:01:57,441
2021-05-17 07:02:57,435
2021-05-17 07:03:57,432
2021-05-17 07:04:57,429
2021-05-17 07:05:58,429
2021-05-17 07:06:58,432
2021-05-17 07:07:58,439
2021-05-17 07:08:58,446
2021-05-17 07:09:58,452
2021-05-17 07:10:58,458
2021-05-17 07:11:58,461
2021-05-17 07:12:58,461
2021-05-17 07:13:59,464
2021-05-17 07:14:59,475
2021-05-17 07:15:59,485
2021-05-17 07:16:59,490
2021-05-17 07:17:59,495
2021-05-17 07:18:59,499
2021-05-17 07:19:59,496
2021-05-17 07:20:59,492
2021-05-17 07:22:00,494
2021-05-17 07:23:00,501
2021-05-17 07:24:00,504
2021-05-17 07:25:00,506
2021-05-17 07:26:00,513
2021-05-17 07:27:00,532
2021-05-17 07:28:01,551
2021-05-17 07:29:01,568
2021-05-17 07:30:01,581
2021-05-17 07:31:01,591
2021-05-17 07:32:01,595
2021-05-17 07:33:01,594
2021-05-17 07:34:01,592
2021-05-17 07:35:01,591
2021-05-17 07:36:02,587
2021-05-17 07:37:02,582
2021-05-17 07:38:02,579
2021-05-17 07:39:02,579
2021-05-17 07:40:02,580
2021-05-17 07:41:02,578
2021-05-17 07:42:02,577
2021-05-17 07:43:02,577
2021-05-17 07:44:03,580
2021-05-17 07:45:03,575
2021-05-17 07:46:03,567
2021-05-17 07:47:03,550
2021-05-17 07:48:03,531
2021-05-17 07:49:03,516
2021-05-17 07:50:03,511
2021-05-17 07:51:04,508
2021-05-17 07:52:04,503
2021-05-17 07:53:04,506
2021-05-17 07:54:04,505
2021-05-17 07:55:04,502
2021-05-17 07:56:04,501
2021-05-17 07:57:04,501
2021-05-17 07:58:04,503
2021-05-17 07:59:05,505
2021-05-17 08:00:05,510
2021-05-17 08:01:05,518
2021-05-17 08:02:05,526
2021-05-17 08:03:05,529
2021-05-17 08:04:05,536
2021-05-17 08:05:05,546
2021-05-17 08:06:05,553
2021-05-17 08:07:06,561
2021-05-17 08:08:06,570
2021-05-17 08:09:06,574
2021-05-17 08:10:06,572
2021-05-17 08:11:06,570
2021-05-17 08:12:06,569
2021-05-17 08:13:06,568
2021-05-17 08:14:07,568
2021-05-17 08:15:07,565
2021-05-17 08:16:07,565
2021-05-17 08:17:07,564
2021-05-17 08:18:07,565
2021-05-17 08:19:08,568
2021-05-17 08:20:08,571
2021-05-17 08:21:08,573
2021-05-17 08:22:08,571
2021-05-17 08:23:08,570
2021-05-17 08:24:08,571
2021-05-17 08:25:08,572
2021-05-17 08:26:09,575
2021-05-17 08:27:09,576
2021-05-17 08:28:09,571
2021-05-17 08:29:09,567
2021-05-17 08:30:09,563
2021-05-17 08:31:09,560
2021-05-17 08:32:09,560
2021-05-17 08:33:10,562
2021-05-17 08:34:10,562
2021-05-17 08:35:10,563
2021-05-17 08:36:10,562
2021-05-17 08:37:10,560
2021-05-17 08:38:10,559
2021-05-17 08:39:10,559
2021-05-17 08:40:10,562
2021-05-17 08:41:11,564
2021-05-17 08:42:11,562
2021-05-17 08:43:11,558
2021-05-17 08:44:11,554
2021-05-17 08:45:11,551
2021-05-17 08:46:12,550
2021-05-17 08:47:12,550
2021-05-17 08:48:12,551
2021-05-17 08:49:12,551
2021-05-17 08:50:12,546
2021-05-17 08:51:12,545
2021-05-17 08:52:12,548
2021-05-17 08:53:12,553
2021-05-17 08:54:13,556
2021-05-17 08:54:13,556
2021-05-17 08:55:13,557
2021-05-17 08:55:13,557
2021-05-17 08:56:13,557
2021-05-17 08:56:13,557
2021-05-17 08:57:13,557
2021-05-17 08:57:13,557
2021-05-17 08:58:13,555
2021-05-17 08:58:13,555
2021-05-17 08:59:13,555
2021-05-17 09:00:13,555
2021-05-17 09:00:13,555
2021-05-17 09:01:14,552
2021-05-17 09:01:14,552
2021-05-17 09:02:14,548
2021-05-17 09:02:14,548
2021-05-17 09:03:14,544
2021-05-17 09:03:14,544
2021-05-17 09:04:14,539
2021-05-17 09:05:14,536
2021-05-17 09:06:14,535
2021-05-17 09:06:14,535
2021-05-17 09:07:15,531
2021-05-17 09:07:15,531
2021-05-17 09:08:15,530
2021-05-17 09:08:15,530
2021-05-17 09:09:15,528
2021-05-17 09:10:15,530
2021-05-17 09:11:15,534
2021-05-17 09:12:15,534
2021-05-17 09:13:15,535
2021-05-17 09:14:16,536
2021-05-17 09:15:16,532
2021-05-17 09:16:16,529
2021-05-17 09:17:16,529
2021-05-17 09:18:16,529
2021-05-17 09:19:16,530
2021-05-17 09:20:16,526
2021-05-17 09:21:16,522
2021-05-17 09:22:17,519
2021-05-17 09:23:17,519
2021-05-17 09:24:17,517
2021-05-17 09:25:17,516
2021-05-17 09:26:17,512
2021-05-17 09:27:17,507
2021-05-17 09:28:17,503
2021-05-17 09:29:17,500
2021-05-17 09:30:18,499
2021-05-17 09:31:18,497
2021-05-17 09:32:18,493
2021-05-17 09:33:18,484
2021-05-17 09:34:18,478
2021-05-17 09:35:19,477
2021-05-17 09:36:19,476
2021-05-17 09:37:19,474
2021-05-17 09:38:19,476
2021-05-17 09:39:19,477
2021-05-17 09:40:19,476
2021-05-17 09:41:19,473
2021-05-17 09:42:19,470
2021-05-17 09:43:20,470
2021-05-17 09:44:20,469
2021-05-17 09:45:20,467
2021-05-17 09:46:20,466
2021-05-17 09:47:20,467
2021-05-17 09:48:20,463
2021-05-17 09:49:20,457
2021-05-17 09:50:20,448
2021-05-17 09:51:21,442
2021-05-17 09:52:21,441
2021-05-17 09:53:21,441
2021-05-17 09:54:21,439
2021-05-17 09:55:21,437
2021-05-17 09:56:21,435
2021-05-17 09:57:21,435
2021-05-17 09:58:22,436
2021-05-17 09:59:22,440
2021-05-17 10:00:22,447
2021-05-17 10:01:22,450
2021-05-17 10:02:22,449
2021-05-17 10:03:22,449
2021-05-17 10:04:22,452
2021-05-17 10:05:22,454
2021-05-17 10:06:23,457
2021-05-17 10:07:23,457
2021-05-17 10:08:23,452
2021-05-17 10:09:23,447
2021-05-17 10:10:23,441
2021-05-17 10:11:23,434
2021-05-17 10:12:23,429
2021-05-17 10:13:24,424
2021-05-17 10:14:24,417
2021-05-17 10:15:24,409
2021-05-17 10:16:24,402
2021-05-17 10:17:24,400
2021-05-17 10:18:24,403
2021-05-17 10:19:25,406
2021-05-17 10:20:25,410
2021-05-17 10:21:25,415
2021-05-17 10:22:25,420
2021-05-17 10:23:25,425
2021-05-17 10:24:25,428
2021-05-17 10:25:25,434
2021-05-17 10:26:25,440
2021-05-17 10:27:26,441
2021-05-17 10:28:26,439
2021-05-17 10:29:26,438
2021-05-17 10:30:26,435
2021-05-17 10:31:26,434
2021-05-17 10:32:26,432
2021-05-17 10:33:26,432
2021-05-17 10:34:27,432
2021-05-17 10:35:27,427
2021-05-17 10:36:27,422
2021-05-17 10:37:27,417
2021-05-17 10:38:27,413
2021-05-17 10:39:27,408
2021-05-17 10:40:27,405
2021-05-17 10:41:27,401
2021-05-17 10:42:28,396
2021-05-17 10:43:28,389
2021-05-17 10:44:28,388
2021-05-17 10:45:28,393
2021-05-17 10:46:28,397
2021-05-17 10:47:28,399
2021-05-17 10:48:29,403
2021-05-17 10:49:29,409
2021-05-17 10:50:29,416
2021-05-17 10:51:29,421
2021-05-17 10:52:29,427
2021-05-17 10:53:29,435
2021-05-17 10:54:30,438
2021-05-17 10:55:30,434
2021-05-17 10:56:30,432
2021-05-17 10:57:30,434
2021-05-17 10:58:30,433
2021-05-17 10:59:30,432
2021-05-17 11:00:30,430
2021-05-17 11:01:31,432
2021-05-17 11:02:31,436
2021-05-17 11:03:31,438
2021-05-17 11:04:31,438
2021-05-17 11:05:31,438
2021-05-17 11:06:31,436
2021-05-17 11:07:32,433
2021-05-17 11:08:32,432
2021-05-17 11:09:32,430
2021-05-17 11:10:32,427
2021-05-17 11:11:32,423
2021-05-17 11:12:32,421
2021-05-17 11:13:32,420
2021-05-17 11:14:33,420
2021-05-17 11:15:33,424
2021-05-17 11:16:33,428
2021-05-17 11:17:33,442
2021-05-17 11:18:33,455
2021-05-17 11:19:33,463
2021-05-17 11:20:34,469
2021-05-17 11:21:34,473
2021-05-17 11:22:34,474
2021-05-17 11:23:34,479
2021-05-17 11:24:34,482
2021-05-17 11:25:34,482
2021-05-17 11:26:35,480
2021-05-17 11:27:35,468
2021-05-17 11:28:35,459
2021-05-17 11:29:35,457
2021-05-17 11:30:35,457
2021-05-17 11:31:35,460
2021-05-17 11:32:35,463
2021-05-17 11:33:36,461
2021-05-17 11:34:36,460
2021-05-17 11:35:36,466
2021-05-17 11:36:36,473
2021-05-17 11:37:36,476
2021-05-17 11:38:36,476
2021-05-17 11:39:36,473
2021-05-17 11:40:36,471
2021-05-17 11:41:37,467
2021-05-17 11:42:37,463
2021-05-17 11:43:37,465
2021-05-17 11:44:37,464
2021-05-17 11:45:37,457
2021-05-17 11:46:37,449
2021-05-17 11:47:38,447
2021-05-17 11:48:38,446
2021-05-17 11:49:38,447
2021-05-17 11:50:38,448
2021-05-17 11:51:38,450
2021-05-17 11:52:38,453
2021-05-17 11:53:39,461
2021-05-17 11:54:39,473
2021-05-17 11:55:39,491
2021-05-17 11:56:39,508
2021-05-17 11:57:39,522
2021-05-17 11:58:39,537
2021-05-17 11:59:39,552
2021-05-17 12:00:39,566
2021-05-17 12:01:40,578
2021-05-17 12:02:40,589
2021-05-17 12:03:40,597
2021-05-17 12:04:40,602
2021-05-17 12:05:40,605
2021-05-17 12:06:40,609
2021-05-17 12:07:40,613
2021-05-17 12:08:41,618
2021-05-17 12:09:41,623
2021-05-17 12:10:41,626
2021-05-17 12:11:41,629
2021-05-17 12:12:41,630
2021-05-17 12:13:41,632
2021-05-17 12:14:42,633
2021-05-17 12:15:42,628
2021-05-17 12:16:42,618
2021-05-17 12:17:42,607
2021-05-17 12:18:42,592
2021-05-17 12:19:42,575
2021-05-17 12:20:43,558
2021-05-17 12:21:43,545
2021-05-17 12:22:43,532
2021-05-17 12:23:43,519
2021-05-17 12:24:43,507
2021-05-17 12:25:43,500
2021-05-17 12:26:44,496
2021-05-17 12:27:44,496
2021-05-17 12:28:44,500
2021-05-17 12:29:44,510
2021-05-17 12:30:44,517
2021-05-17 12:31:44,519
2021-05-17 12:32:45,520
2021-05-17 12:33:45,522
2021-05-17 12:34:45,526
2021-05-17 12:35:45,535
2021-05-17 12:36:45,540
2021-05-17 12:37:45,540
2021-05-17 12:38:46,539
2021-05-17 12:39:46,535
2021-05-17 12:40:46,533
2021-05-17 12:41:46,533
2021-05-17 12:42:46,532
2021-05-17 12:43:47,531
2021-05-17 12:44:47,532
2021-05-17 12:45:47,530
2021-05-17 12:46:47,533
2021-05-17 12:47:48,534
2021-05-17 12:48:48,537
2021-05-17 12:49:48,545
2021-05-17 12:50:48,554
2021-05-17 12:51:48,557
2021-05-17 12:52:48,555
2021-05-17 12:53:49,549
2021-05-17 12:54:49,539
2021-05-17 12:55:49,535
2021-05-17 12:56:49,533
2021-05-17 12:57:49,536
2021-05-17 12:58:49,537
2021-05-17 12:59:49,532
2021-05-17 13:00:49,523
2021-05-17 13:01:50,524
2021-05-17 13:02:50,535
2021-05-17 13:03:50,546
2021-05-17 13:04:50,555
2021-05-17 13:05:50,557
2021-05-17 13:06:50,563
2021-05-17 13:07:50,565
2021-05-17 13:08:50,565
2021-05-17 13:09:50,565
2021-05-17 13:10:51,564
2021-05-17 13:11:51,557
2021-05-17 13:12:51,549
2021-05-17 13:13:51,542
2021-05-17 13:14:51,538
2021-05-17 13:15:51,536
2021-05-17 13:16:51,530
2021-05-17 13:17:52,530
2021-05-17 13:18:52,531
2021-05-17 13:19:52,533
2021-05-17 13:20:52,534
2021-05-17 13:21:52,535
2021-05-17 13:22:52,536
2021-05-17 13:23:52,538
2021-05-17 13:24:52,533
2021-05-17 13:25:53,528
2021-05-17 13:26:53,524
2021-05-17 13:27:53,522
2021-05-17 13:28:53,520
2021-05-17 13:29:53,521
2021-05-17 13:30:53,523
2021-05-17 13:31:53,525
2021-05-17 13:32:53,526
2021-05-17 13:33:53,526
2021-05-17 13:34:54,526
2021-05-17 13:35:54,529
2021-05-17 13:36:54,529
2021-05-17 13:37:54,522
2021-05-17 13:38:54,518
2021-05-17 13:39:54,517
2021-05-17 13:40:54,517
2021-05-17 13:41:55,516
2021-05-17 13:42:55,514
2021-05-17 13:43:55,513
2021-05-17 13:44:55,512
2021-05-17 13:45:55,509
2021-05-17 13:46:55,509
2021-05-17 13:47:55,508
2021-05-17 13:48:55,505
2021-05-17 13:49:55,500
2021-05-17 13:50:56,494
2021-05-17 13:51:56,488
2021-05-17 13:52:56,483
2021-05-17 13:53:56,483
2021-05-17 13:54:56,483
2021-05-17 13:55:56,486
2021-05-17 13:56:56,491
2021-05-17 13:57:56,494
2021-05-17 13:58:57,496
2021-05-17 13:59:57,500
2021-05-17 14:00:57,505
2021-05-17 14:01:57,510
2021-05-17 14:02:57,510
2021-05-17 14:03:57,510
2021-05-17 14:04:57,510
2021-05-17 14:05:57,505
2021-05-17 14:06:57,504
2021-05-17 14:07:58,503
2021-05-17 14:08:58,500
2021-05-17 14:09:58,497
2021-05-17 14:10:58,490
2021-05-17 14:11:58,483
2021-05-17 14:12:58,480
2021-05-17 14:13:58,478
2021-05-17 14:14:58,477
2021-05-17 14:15:58,475
2021-05-17 14:16:59,470
2021-05-17 14:17:59,468
2021-05-17 14:18:59,465
2021-05-17 14:19:59,463
2021-05-17 14:20:59,465
2021-05-17 14:21:59,468
2021-05-17 14:22:59,470
2021-05-17 14:23:59,470
2021-05-17 14:24:59,470
2021-05-17 14:26:00,469
2021-05-17 14:27:00,473
2021-05-17 14:28:00,477
2021-05-17 14:29:00,482
2021-05-17 14:30:00,485
2021-05-17 14:31:00,488
2021-05-17 14:32:00,491
2021-05-17 14:33:00,493
2021-05-17 14:34:00,492
2021-05-17 14:35:01,490
2021-05-17 14:36:01,488
2021-05-17 14:37:01,481
2021-05-17 14:38:01,474
2021-05-17 14:39:01,467
2021-05-17 14:40:01,465
2021-05-17 14:41:01,464
2021-05-17 14:42:02,461
2021-05-17 14:43:02,460
2021-05-17 14:44:02,460
2021-05-17 14:45:02,461
2021-05-17 14:46:02,467
2021-05-17 14:47:02,470
2021-05-17 14:48:02,472
2021-05-17 14:49:02,478
2021-05-17 14:50:02,484
2021-05-17 14:51:03,484
2021-05-17 14:52:03,483
2021-05-17 14:53:03,485
2021-05-17 14:54:03,486
2021-05-17 14:55:03,482
2021-05-17 14:56:03,475
2021-05-17 14:57:03,472
2021-05-17 14:58:03,472
2021-05-17 14:59:04,470
2021-05-17 15:00:04,468
2021-05-17 15:01:04,467
2021-05-17 15:02:04,466
2021-05-17 15:03:04,464
2021-05-17 15:04:04,464
2021-05-17 15:05:04,469
2021-05-17 15:06:04,473
2021-05-17 15:07:05,472
2021-05-17 15:08:05,468
2021-05-17 15:09:05,462
2021-05-17 15:10:05,458
2021-05-17 15:11:05,455
2021-05-17 15:12:05,455
