"Time","MASSFLOW"
2021-05-16 06:15:31,430
2021-05-16 06:16:31,431
2021-05-16 06:17:31,430
2021-05-16 06:18:31,430
2021-05-16 06:19:31,431
2021-05-16 06:20:32,434
2021-05-16 06:21:32,438
2021-05-16 06:22:32,440
2021-05-16 06:23:32,442
2021-05-16 06:24:32,445
2021-05-16 06:25:32,444
2021-05-16 06:26:33,443
2021-05-16 06:27:33,443
2021-05-16 06:28:33,443
2021-05-16 06:29:33,442
2021-05-16 06:30:33,439
2021-05-16 06:31:33,435
2021-05-16 06:32:33,437
2021-05-16 06:33:34,440
2021-05-16 06:34:34,443
2021-05-16 06:35:34,448
2021-05-16 06:36:34,456
2021-05-16 06:37:34,464
2021-05-16 06:38:34,471
2021-05-16 06:39:34,475
2021-05-16 06:40:35,479
2021-05-16 06:41:35,483
2021-05-16 06:42:35,487
2021-05-16 06:43:35,490
2021-05-16 06:44:35,493
2021-05-16 06:45:35,494
2021-05-16 06:46:35,490
2021-05-16 06:47:36,483
2021-05-16 06:48:36,479
2021-05-16 06:49:36,478
2021-05-16 06:50:36,476
2021-05-16 06:51:37,475
2021-05-16 06:52:37,470
2021-05-16 06:53:37,465
2021-05-16 06:54:37,459
2021-05-16 06:55:37,454
2021-05-16 06:56:37,454
2021-05-16 06:57:37,454
2021-05-16 06:58:38,453
2021-05-16 06:59:38,452
2021-05-16 07:00:38,451
2021-05-16 07:01:38,451
2021-05-16 07:02:38,450
2021-05-16 07:03:38,451
2021-05-16 07:04:39,457
2021-05-16 07:05:39,462
2021-05-16 07:06:39,466
2021-05-16 07:07:39,468
2021-05-16 07:08:39,471
2021-05-16 07:09:39,473
2021-05-16 07:10:39,476
2021-05-16 07:11:40,480
2021-05-16 07:12:40,487
2021-05-16 07:13:40,494
2021-05-16 07:14:40,495
2021-05-16 07:15:40,495
2021-05-16 07:16:40,495
2021-05-16 07:17:41,496
2021-05-16 07:18:41,497
2021-05-16 07:19:41,499
2021-05-16 07:20:41,503
2021-05-16 07:21:41,502
2021-05-16 07:22:42,498
2021-05-16 07:23:42,496
2021-05-16 07:24:42,499
2021-05-16 07:25:42,496
2021-05-16 07:26:42,490
2021-05-16 07:27:42,489
2021-05-16 07:28:42,488
2021-05-16 07:29:43,486
2021-05-16 07:30:43,482
2021-05-16 07:31:43,480
2021-05-16 07:32:43,478
2021-05-16 07:33:43,473
2021-05-16 07:34:43,471
2021-05-16 07:35:44,473
2021-05-16 07:36:44,475
2021-05-16 07:37:44,473
2021-05-16 07:38:44,471
2021-05-16 07:39:44,469
2021-05-16 07:40:44,469
2021-05-16 07:41:44,470
2021-05-16 07:42:45,472
2021-05-16 07:43:45,474
2021-05-16 07:44:45,478
2021-05-16 07:45:45,480
2021-05-16 07:46:45,482
2021-05-16 07:47:46,484
2021-05-16 07:48:46,489
2021-05-16 07:49:46,490
2021-05-16 07:50:46,491
2021-05-16 07:51:46,488
2021-05-16 07:52:47,486
2021-05-16 07:53:47,482
2021-05-16 07:54:47,480
2021-05-16 07:55:47,480
2021-05-16 07:56:47,483
2021-05-16 07:57:47,485
2021-05-16 07:58:47,486
2021-05-16 07:59:48,489
2021-05-16 08:00:48,494
2021-05-16 08:01:48,501
2021-05-16 08:02:48,507
2021-05-16 08:03:48,511
2021-05-16 08:04:48,513
2021-05-16 08:05:49,515
2021-05-16 08:06:49,517
2021-05-16 08:07:49,520
2021-05-16 08:08:49,525
2021-05-16 08:09:49,532
2021-05-16 08:10:49,531
2021-05-16 08:11:50,528
2021-05-16 08:12:50,524
2021-05-16 08:13:50,525
2021-05-16 08:14:50,528
2021-05-16 08:15:50,528
