"Time","MASSFLOW"
2021-05-15 06:15:15,460
2021-05-15 06:16:15,463
2021-05-15 06:17:15,465
2021-05-15 06:18:15,467
2021-05-15 06:19:15,472
2021-05-15 06:20:15,475
2021-05-15 06:21:15,474
2021-05-15 06:22:15,472
2021-05-15 06:23:16,471
2021-05-15 06:24:16,469
2021-05-15 06:25:16,462
2021-05-15 06:26:16,457
2021-05-15 06:27:16,456
2021-05-15 06:28:16,453
2021-05-15 06:29:16,450
2021-05-15 06:30:16,450
2021-05-15 06:31:17,452
2021-05-15 06:32:17,453
2021-05-15 06:33:17,458
2021-05-15 06:34:17,464
2021-05-15 06:35:17,470
2021-05-15 06:36:17,477
2021-05-15 06:37:17,482
2021-05-15 06:38:17,486
2021-05-15 06:39:17,486
2021-05-15 06:40:17,489
2021-05-15 06:41:18,494
2021-05-15 06:42:18,505
2021-05-15 06:43:18,511
2021-05-15 06:44:18,513
2021-05-15 06:45:18,509
2021-05-15 06:46:18,505
2021-05-15 06:47:18,505
2021-05-15 06:48:18,508
2021-05-15 06:49:18,513
2021-05-15 06:50:19,515
2021-05-15 06:51:19,512
2021-05-15 06:52:19,504
2021-05-15 06:53:19,498
2021-05-15 06:54:19,495
2021-05-15 06:55:19,496
2021-05-15 06:56:19,499
2021-05-15 06:57:19,499
2021-05-15 06:58:19,496
2021-05-15 06:59:20,496
2021-05-15 07:00:20,499
2021-05-15 07:01:20,504
2021-05-15 07:02:20,509
2021-05-15 07:03:20,512
2021-05-15 07:04:20,515
2021-05-15 07:05:20,519
2021-05-15 07:06:20,524
2021-05-15 07:07:20,531
2021-05-15 07:08:21,537
2021-05-15 07:09:21,538
2021-05-15 07:10:21,539
2021-05-15 07:11:21,544
2021-05-15 07:12:21,547
2021-05-15 07:13:21,549
2021-05-15 07:14:21,553
2021-05-15 07:15:21,559
2021-05-15 07:16:21,565
2021-05-15 07:17:22,570
2021-05-15 07:18:22,570
2021-05-15 07:19:22,572
2021-05-15 07:20:22,573
2021-05-15 07:21:22,574
2021-05-15 07:22:22,576
2021-05-15 07:23:22,578
2021-05-15 07:24:22,578
2021-05-15 07:25:22,578
2021-05-15 07:26:23,575
2021-05-15 07:27:23,572
2021-05-15 07:28:23,575
2021-05-15 07:29:23,578
2021-05-15 07:30:23,577
