"Time","MASSFLOW"
2021-05-19 06:15:29,421
2021-05-19 06:16:30,427
2021-05-19 06:17:30,422
2021-05-19 06:18:30,424
2021-05-19 06:19:30,428
2021-05-19 06:20:30,433
2021-05-19 06:21:30,437
2021-05-19 06:22:30,441
2021-05-19 06:23:31,442
2021-05-19 06:24:31,439
2021-05-19 06:25:31,435
2021-05-19 06:26:31,435
2021-05-19 06:27:31,436
2021-05-19 06:28:31,437
2021-05-19 06:29:31,437
2021-05-19 06:30:31,437
2021-05-19 06:31:32,437
2021-05-19 06:32:32,437
2021-05-19 06:33:32,443
2021-05-19 06:34:32,450
2021-05-19 06:35:32,456
2021-05-19 06:36:32,460
2021-05-19 06:37:32,463
2021-05-19 06:38:33,465
2021-05-19 06:39:33,469
2021-05-19 06:40:33,475
2021-05-19 06:41:33,478
2021-05-19 06:42:33,477
2021-05-19 06:43:33,473
2021-05-19 06:44:33,471
2021-05-19 06:45:34,471
2021-05-19 06:46:34,472
2021-05-19 06:47:34,475
2021-05-19 06:48:34,478
2021-05-19 06:49:34,483
2021-05-19 06:50:34,489
2021-05-19 06:51:35,494
2021-05-19 06:52:35,501
2021-05-19 06:53:35,505
2021-05-19 06:54:35,508
2021-05-19 06:55:35,509
2021-05-19 06:56:35,510
2021-05-19 06:57:35,505
2021-05-19 06:58:35,500
2021-05-19 06:59:36,493
2021-05-19 07:00:36,489
2021-05-19 07:01:36,487
2021-05-19 07:02:36,485
2021-05-19 07:03:36,484
2021-05-19 07:04:36,488
2021-05-19 07:05:36,490
2021-05-19 07:06:36,493
2021-05-19 07:07:37,508
2021-05-19 07:08:37,520
2021-05-19 07:09:37,527
2021-05-19 07:10:37,533
2021-05-19 07:11:37,540
2021-05-19 07:12:37,545
2021-05-19 07:13:37,549
2021-05-19 07:14:38,550
2021-05-19 07:15:38,550
2021-05-19 07:16:38,550
2021-05-19 07:17:38,543
2021-05-19 07:18:38,538
2021-05-19 07:19:38,539
2021-05-19 07:20:38,537
2021-05-19 07:21:39,538
2021-05-19 07:22:39,539
2021-05-19 07:23:39,536
2021-05-19 07:24:39,533
2021-05-19 07:25:39,531
2021-05-19 07:26:39,528
2021-05-19 07:27:39,523
2021-05-19 07:28:40,520
2021-05-19 07:29:40,520
2021-05-19 07:30:40,520
2021-05-19 07:31:40,520
2021-05-19 07:32:40,524
2021-05-19 07:33:40,531
2021-05-19 07:34:40,535
2021-05-19 07:35:41,537
2021-05-19 07:36:41,542
2021-05-19 07:37:41,547
2021-05-19 07:38:41,550
2021-05-19 07:39:41,551
2021-05-19 07:40:41,551
2021-05-19 07:41:42,552
2021-05-19 07:42:42,555
2021-05-19 07:43:42,556
2021-05-19 07:44:42,558
2021-05-19 07:45:42,555
2021-05-19 07:46:43,553
2021-05-19 07:47:43,556
2021-05-19 07:48:43,557
2021-05-19 07:49:43,553
2021-05-19 07:50:43,552
2021-05-19 07:51:43,550
2021-05-19 07:52:44,545
2021-05-19 07:53:44,539
2021-05-19 07:54:44,535
2021-05-19 07:55:44,533
2021-05-19 07:56:44,533
2021-05-19 07:56:44,533
2021-05-19 07:57:44,531
2021-05-19 07:58:44,530
2021-05-19 07:59:45,531
2021-05-19 08:00:46,528
2021-05-19 08:01:46,523
2021-05-19 08:02:46,523
2021-05-19 08:03:46,522
2021-05-19 08:04:46,528
2021-05-19 08:05:46,537
2021-05-19 08:06:46,537
2021-05-19 08:07:47,533
2021-05-19 08:08:47,532
2021-05-19 08:09:47,532
2021-05-19 08:10:47,533
2021-05-19 08:11:47,537
2021-05-19 08:12:47,538
2021-05-19 08:13:47,539
2021-05-19 08:14:48,538
2021-05-19 08:15:48,536
2021-05-19 08:16:48,537
2021-05-19 08:17:48,543
2021-05-19 08:18:48,546
2021-05-19 08:19:48,549
2021-05-19 08:20:48,549
2021-05-19 08:21:49,548
2021-05-19 08:22:49,547
2021-05-19 08:23:49,545
2021-05-19 08:24:49,542
2021-05-19 08:25:49,536
2021-05-19 08:26:49,534
2021-05-19 08:27:49,530
2021-05-19 08:28:50,529
2021-05-19 08:29:50,531
2021-05-19 08:30:50,531
2021-05-19 08:31:50,531
2021-05-19 08:32:50,535
2021-05-19 08:33:50,540
2021-05-19 08:34:50,542
2021-05-19 08:35:50,541
2021-05-19 08:36:51,539
2021-05-19 08:37:51,539
2021-05-19 08:38:51,538
2021-05-19 08:39:51,536
2021-05-19 08:40:51,537
2021-05-19 08:41:51,539
2021-05-19 08:42:52,538
2021-05-19 08:43:52,536
2021-05-19 08:44:52,536
2021-05-19 08:45:52,537
2021-05-19 08:46:52,539
2021-05-19 08:47:52,541
2021-05-19 08:48:53,537
2021-05-19 08:49:53,534
2021-05-19 08:50:53,530
2021-05-19 08:51:53,528
2021-05-19 08:52:53,529
2021-05-19 08:53:53,528
2021-05-19 08:54:54,528
2021-05-19 08:55:54,530
2021-05-19 08:56:54,531
2021-05-19 08:57:54,533
2021-05-19 08:58:54,537
2021-05-19 08:59:54,539
2021-05-19 09:00:54,541
2021-05-19 09:01:55,539
2021-05-19 09:02:55,535
2021-05-19 09:03:55,530
2021-05-19 09:04:55,524
2021-05-19 09:05:55,525
2021-05-19 09:06:55,525
2021-05-19 09:07:56,528
