"Time","MASSFLOW"
2021-05-18 06:15:10,424
2021-05-18 06:16:10,431
2021-05-18 06:17:10,440
2021-05-18 06:18:10,446
2021-05-18 06:19:10,449
2021-05-18 06:20:10,452
2021-05-18 06:21:11,456
2021-05-18 06:22:11,458
2021-05-18 06:23:11,458
2021-05-18 06:24:11,456
2021-05-18 06:25:11,456
2021-05-18 06:26:11,452
2021-05-18 06:27:11,447
2021-05-18 06:28:12,445
2021-05-18 06:29:12,445
2021-05-18 06:30:12,448
2021-05-18 06:31:12,452
2021-05-18 06:32:12,455
2021-05-18 06:33:12,459
2021-05-18 06:34:12,462
2021-05-18 06:35:13,466
2021-05-18 06:36:13,472
2021-05-18 06:37:13,476
2021-05-18 06:38:13,479
2021-05-18 06:39:13,479
2021-05-18 06:40:13,477
2021-05-18 06:41:13,477
2021-05-18 06:42:13,479
2021-05-18 06:43:14,480
2021-05-18 06:44:14,481
2021-05-18 06:45:14,482
2021-05-18 06:46:14,479
2021-05-18 06:47:14,476
2021-05-18 06:48:14,472
2021-05-18 06:49:15,467
2021-05-18 06:50:15,464
2021-05-18 06:51:15,467
2021-05-18 06:52:15,474
2021-05-18 06:53:15,478
2021-05-18 06:54:15,480
2021-05-18 06:55:16,486
2021-05-18 06:56:16,492
2021-05-18 06:57:16,493
2021-05-18 06:58:16,495
2021-05-18 06:59:16,496
2021-05-18 07:00:16,491
2021-05-18 07:01:17,482
2021-05-18 07:02:17,473
2021-05-18 07:03:17,469
2021-05-18 07:04:17,466
2021-05-18 07:05:17,462
2021-05-18 07:06:17,462
2021-05-18 07:07:18,469
2021-05-18 07:08:18,479
2021-05-18 07:09:18,494
2021-05-18 07:10:18,507
2021-05-18 07:11:18,516
2021-05-18 07:12:19,523
2021-05-18 07:13:19,526
2021-05-18 07:14:19,524
2021-05-18 07:15:19,519
2021-05-18 07:16:19,512
2021-05-18 07:17:19,506
2021-05-18 07:18:19,499
2021-05-18 07:19:20,493
2021-05-18 07:20:20,490
2021-05-18 07:21:20,489
2021-05-18 07:22:20,490
2021-05-18 07:23:20,493
2021-05-18 07:24:20,497
2021-05-18 07:25:21,497
2021-05-18 07:26:21,491
2021-05-18 07:27:21,484
2021-05-18 07:28:21,474
2021-05-18 07:29:21,461
2021-05-18 07:30:21,454
2021-05-18 07:31:21,447
2021-05-18 07:32:21,437
2021-05-18 07:33:22,428
2021-05-18 07:34:22,422
2021-05-18 07:35:22,419
2021-05-18 07:36:22,420
2021-05-18 07:37:22,423
2021-05-18 07:38:22,426
2021-05-18 07:39:22,429
2021-05-18 07:40:22,427
2021-05-18 07:41:22,426
2021-05-18 07:42:23,424
2021-05-18 07:43:23,424
2021-05-18 07:44:23,426
2021-05-18 07:45:23,428
2021-05-18 07:46:23,427
2021-05-18 07:47:23,426
2021-05-18 07:48:23,425
2021-05-18 07:49:23,424
2021-05-18 07:50:23,425
2021-05-18 07:51:24,429
2021-05-18 07:52:24,433
2021-05-18 07:53:24,436
2021-05-18 07:54:24,440
2021-05-18 07:55:24,450
2021-05-18 07:56:24,461
2021-05-18 07:57:24,471
2021-05-18 07:58:25,486
2021-05-18 07:59:25,508
2021-05-18 08:00:25,530
2021-05-18 08:01:25,552
2021-05-18 08:02:25,576
2021-05-18 08:03:25,604
2021-05-18 08:04:25,628
2021-05-18 08:05:25,645
2021-05-18 08:06:26,656
2021-05-18 08:07:26,657
2021-05-18 08:08:26,644
2021-05-18 08:09:26,629
2021-05-18 08:10:26,609
2021-05-18 08:11:26,587
2021-05-18 08:12:26,565
2021-05-18 08:13:26,541
2021-05-18 08:14:26,520
2021-05-18 08:15:27,508
2021-05-18 08:16:27,502
2021-05-18 08:17:27,506
2021-05-18 08:18:27,514
2021-05-18 08:19:27,516
2021-05-18 08:20:27,519
2021-05-18 08:21:27,527
2021-05-18 08:22:28,533
2021-05-18 08:23:28,539
2021-05-18 08:24:28,538
2021-05-18 08:25:28,532
2021-05-18 08:26:28,526
2021-05-18 08:27:28,521
2021-05-18 08:28:28,520
2021-05-18 08:29:28,521
2021-05-18 08:30:29,522
2021-05-18 08:31:29,520
2021-05-18 08:32:29,516
2021-05-18 08:33:29,509
2021-05-18 08:34:29,504
2021-05-18 08:35:29,502
2021-05-18 08:36:29,497
2021-05-18 08:37:30,490
2021-05-18 08:38:30,480
2021-05-18 08:39:30,473
2021-05-18 08:40:30,464
2021-05-18 08:41:30,454
2021-05-18 08:42:30,447
2021-05-18 08:43:30,446
2021-05-18 08:44:30,443
2021-05-18 08:45:31,436
2021-05-18 08:46:31,431
2021-05-18 08:47:31,428
2021-05-18 08:48:31,426
2021-05-18 08:49:31,422
2021-05-18 08:50:31,417
2021-05-18 08:51:31,417
2021-05-18 08:52:31,412
2021-05-18 08:53:32,405
2021-05-18 08:54:32,401
2021-05-18 08:55:32,403
2021-05-18 08:56:32,403
2021-05-18 08:57:32,406
2021-05-18 08:58:32,412
2021-05-18 08:59:32,419
2021-05-18 09:00:32,426
2021-05-18 09:01:32,431
2021-05-18 09:02:32,435
2021-05-18 09:03:33,439
2021-05-18 09:04:33,442
2021-05-18 09:05:33,442
2021-05-18 09:06:33,443
2021-05-18 09:07:33,438
2021-05-18 09:08:33,430
2021-05-18 09:09:33,427
2021-05-18 09:10:33,429
2021-05-18 09:11:34,434
2021-05-18 09:12:34,440
2021-05-18 09:13:34,447
2021-05-18 09:14:34,454
2021-05-18 09:15:34,459
