"Time","MASSFLOW"
2021-05-13 06:15:11,441
2021-05-13 06:16:11,429
2021-05-13 06:17:11,417
2021-05-13 06:18:11,401
2021-05-13 06:19:12,380
2021-05-13 06:20:12,363
2021-05-13 06:21:12,353
2021-05-13 06:22:12,345
2021-05-13 06:23:12,339
2021-05-13 06:24:12,334
2021-05-13 06:25:12,335
2021-05-13 06:26:13,341
2021-05-13 06:27:13,349
2021-05-13 06:28:13,359
2021-05-13 06:29:13,375
2021-05-13 06:30:13,387
2021-05-13 06:31:14,388
2021-05-13 06:32:14,391
2021-05-13 06:33:14,397
2021-05-13 06:34:14,406
2021-05-13 06:35:14,412
2021-05-13 06:36:15,415
2021-05-13 06:37:15,422
2021-05-13 06:38:15,428
2021-05-13 06:39:15,428
2021-05-13 06:40:15,432
2021-05-13 06:41:15,439
2021-05-13 06:42:16,446
2021-05-13 06:43:16,458
2021-05-13 06:44:16,473
2021-05-13 06:45:16,480
2021-05-13 06:46:16,482
2021-05-13 06:47:16,480
2021-05-13 06:48:17,482
2021-05-13 06:49:17,482
2021-05-13 06:50:17,486
2021-05-13 06:51:17,492
2021-05-13 06:52:17,488
2021-05-13 06:53:17,483
2021-05-13 06:54:17,481
2021-05-13 06:55:18,484
2021-05-13 06:56:18,485
2021-05-13 06:57:18,489
2021-05-13 06:58:18,495
2021-05-13 06:59:18,495
2021-05-13 07:00:18,489
2021-05-13 07:01:19,479
2021-05-13 07:02:19,474
2021-05-13 07:03:19,468
2021-05-13 07:04:19,463
2021-05-13 07:05:19,463
2021-05-13 07:06:19,458
2021-05-13 07:07:19,450
2021-05-13 07:08:19,448
2021-05-13 07:09:19,449
2021-05-13 07:10:20,450
2021-05-13 07:11:20,460
2021-05-13 07:12:20,467
2021-05-13 07:13:20,470
2021-05-13 07:14:20,466
2021-05-13 07:15:20,463
2021-05-13 07:16:20,462
2021-05-13 07:17:20,464
2021-05-13 07:18:20,469
2021-05-13 07:19:21,474
2021-05-13 07:20:21,473
2021-05-13 07:21:21,467
2021-05-13 07:22:21,467
2021-05-13 07:23:21,468
2021-05-13 07:24:21,468
2021-05-13 07:25:21,473
2021-05-13 07:26:21,474
2021-05-13 07:27:22,472
2021-05-13 07:28:22,469
2021-05-13 07:29:22,469
2021-05-13 07:30:22,474
2021-05-13 07:31:22,475
2021-05-13 07:32:22,481
2021-05-13 07:33:22,490
2021-05-13 07:34:22,495
2021-05-13 07:35:23,492
2021-05-13 07:36:23,491
2021-05-13 07:37:23,489
2021-05-13 07:38:23,485
2021-05-13 07:39:23,485
2021-05-13 07:40:23,483
2021-05-13 07:41:23,481
2021-05-13 07:42:23,477
2021-05-13 07:43:23,475
2021-05-13 07:44:24,481
2021-05-13 07:45:24,489
2021-05-13 07:46:24,497
2021-05-13 07:47:24,496
2021-05-13 07:48:24,493
2021-05-13 07:49:24,491
2021-05-13 07:50:24,493
2021-05-13 07:51:25,496
2021-05-13 07:52:25,495
2021-05-13 07:53:25,494
2021-05-13 07:54:25,484
2021-05-13 07:55:25,478
2021-05-13 07:56:25,477
2021-05-13 07:57:25,480
2021-05-13 07:58:25,484
2021-05-13 07:59:25,489
2021-05-13 08:00:25,492
2021-05-13 08:01:26,495
2021-05-13 08:02:26,494
2021-05-13 08:03:26,494
2021-05-13 08:04:26,505
