"Time","MASSFLOW"
2021-05-20 06:15:24,425
2021-05-20 06:16:24,432
2021-05-20 06:17:24,436
2021-05-20 06:18:24,437
2021-05-20 06:19:24,440
2021-05-20 06:20:24,445
2021-05-20 06:21:24,449
2021-05-20 06:22:25,455
2021-05-20 06:23:25,463
2021-05-20 06:24:25,472
2021-05-20 06:25:25,477
2021-05-20 06:26:25,479
2021-05-20 06:27:25,480
2021-05-20 06:28:25,481
2021-05-20 06:29:26,482
2021-05-20 06:30:26,485
2021-05-20 06:31:26,489
2021-05-20 06:32:26,492
2021-05-20 06:33:26,495
2021-05-20 06:34:26,498
2021-05-20 06:35:27,501
2021-05-20 06:36:27,505
2021-05-20 06:37:27,513
2021-05-20 06:38:27,524
2021-05-20 06:39:27,532
2021-05-20 06:40:27,533
2021-05-20 06:41:27,532
2021-05-20 06:42:28,532
2021-05-20 06:43:28,528
2021-05-20 06:44:28,522
2021-05-20 06:45:28,516
2021-05-20 06:46:28,508
2021-05-20 06:47:28,497
2021-05-20 06:48:29,482
2021-05-20 06:49:29,469
2021-05-20 06:50:29,462
2021-05-20 06:51:29,459
2021-05-20 06:52:30,454
2021-05-20 06:53:30,453
2021-05-20 06:54:30,452
2021-05-20 06:55:30,450
2021-05-20 06:56:30,449
2021-05-20 06:57:30,448
2021-05-20 06:58:30,449
2021-05-20 06:59:31,449
2021-05-20 07:00:31,448
2021-05-20 07:01:31,448
2021-05-20 07:02:31,451
2021-05-20 07:03:31,454
2021-05-20 07:04:31,461
2021-05-20 07:05:32,470
2021-05-20 07:06:32,480
2021-05-20 07:07:32,495
2021-05-20 07:08:32,507
2021-05-20 07:09:32,514
2021-05-20 07:10:32,520
2021-05-20 07:11:33,526
2021-05-20 07:12:33,528
2021-05-20 07:13:33,528
2021-05-20 07:14:33,529
2021-05-20 07:15:33,530
2021-05-20 07:16:33,530
2021-05-20 07:17:33,522
2021-05-20 07:18:34,518
2021-05-20 07:19:34,519
2021-05-20 07:20:34,518
2021-05-20 07:21:34,520
2021-05-20 07:22:34,526
2021-05-20 07:23:34,532
2021-05-20 07:24:35,535
2021-05-20 07:25:35,533
2021-05-20 07:26:35,531
2021-05-20 07:27:35,534
2021-05-20 07:28:35,537
2021-05-20 07:29:35,538
2021-05-20 07:30:35,542
2021-05-20 07:31:36,541
2021-05-20 07:32:36,537
2021-05-20 07:33:36,534
2021-05-20 07:34:36,536
2021-05-20 07:35:36,543
2021-05-20 07:36:36,547
2021-05-20 07:37:37,547
2021-05-20 07:38:37,549
2021-05-20 07:39:37,554
2021-05-20 07:40:37,555
2021-05-20 07:41:37,554
2021-05-20 07:42:38,554
2021-05-20 07:43:38,556
2021-05-20 07:44:38,556
2021-05-20 07:45:38,551
2021-05-20 07:46:38,546
2021-05-20 07:47:38,546
2021-05-20 07:48:38,542
2021-05-20 07:49:39,537
2021-05-20 07:50:39,540
2021-05-20 07:51:39,541
2021-05-20 07:52:39,539
2021-05-20 07:53:39,535
2021-05-20 07:54:40,530
2021-05-20 07:55:40,531
2021-05-20 07:56:40,531
2021-05-20 07:57:40,528
2021-05-20 07:58:40,526
2021-05-20 07:59:40,522
2021-05-20 08:00:41,518
2021-05-20 08:01:41,524
2021-05-20 08:02:41,527
2021-05-20 08:03:41,527
2021-05-20 08:04:41,527
2021-05-20 08:05:41,531
2021-05-20 08:06:42,536
2021-05-20 08:07:42,539
2021-05-20 08:08:42,541
2021-05-20 08:09:42,544
2021-05-20 08:10:42,545
2021-05-20 08:11:42,544
2021-05-20 08:12:42,543
