"Time","salzano_ingrid_robegano_MASSFLOW"
2021-02-01 23:15:19,1473
2021-02-01 23:16:19,1452
2021-02-01 23:17:19,1468
2021-02-01 23:18:20,1447
2021-02-01 23:19:20,1463
2021-02-01 23:20:20,1442
2021-02-01 23:21:20,1458
2021-02-01 23:22:20,1437
2021-02-01 23:23:20,1453
2021-02-01 23:24:20,1432
2021-02-01 23:25:20,1448
2021-02-01 23:26:21,1427
2021-02-01 23:27:21,1443
2021-02-01 23:28:21,1422
2021-02-01 23:29:21,1438
2021-02-01 23:30:21,1417
2021-02-01 23:31:21,1415
2021-02-01 23:32:21,1433
2021-02-01 23:33:21,1410
2021-02-01 23:34:21,1428
2021-02-01 23:35:22,1407
2021-02-01 23:36:22,1423
2021-02-01 23:37:22,1402
2021-02-01 23:38:22,1418
2021-02-01 23:39:22,1397
2021-02-01 23:40:22,1413
2021-02-01 23:41:22,1392
2021-02-01 23:42:22,1408
2021-02-01 23:43:23,1387
2021-02-01 23:44:23,1385
2021-02-01 23:45:23,1382
2021-02-01 23:46:23,1380
2021-02-01 23:47:23,1398
2021-02-01 23:48:23,1395
2021-02-01 23:49:23,1380
2021-02-01 23:50:23,1374
2021-02-01 23:51:23,1366
2021-02-01 23:52:24,1361
2021-02-01 23:53:24,1356
2021-02-01 23:54:24,1351
2021-02-01 23:55:24,1361
2021-02-01 23:56:24,1343
2021-02-01 23:57:24,1358
2021-02-01 23:58:25,1337
2021-02-01 23:59:25,1335
2021-02-02 00:00:25,1353
2021-02-02 00:01:25,1332
2021-02-02 00:02:25,1328
2021-02-02 00:03:25,1320
2021-02-02 00:04:25,1316
2021-02-02 00:05:25,1311
2021-02-02 00:06:26,1301
2021-02-02 00:07:26,1296
2021-02-02 00:08:26,1291
2021-02-02 00:09:26,1301
2021-02-02 00:10:26,1283
2021-02-02 00:11:26,1280
2021-02-02 00:12:26,1298
2021-02-02 00:13:26,1277
2021-02-02 00:14:27,1286
2021-02-02 00:15:27,1269
2021-02-02 00:16:27,1284
2021-02-02 00:17:27,1263
2021-02-02 00:18:27,1261
2021-02-02 00:19:27,1279
2021-02-02 00:20:27,1258
2021-02-02 00:21:28,1275
2021-02-02 00:22:28,1253
2021-02-02 00:23:28,1270
2021-02-02 00:24:28,1248
2021-02-02 00:25:28,1246
2021-02-02 00:26:28,1265
2021-02-02 00:27:28,1243
2021-02-02 00:28:28,1260
2021-02-02 00:29:29,1238
2021-02-02 00:30:29,1255
2021-02-02 00:31:29,1233
2021-02-02 00:32:29,1231
2021-02-02 00:33:29,1250
2021-02-02 00:34:29,1226
2021-02-02 00:35:29,1245
2021-02-02 00:36:29,1223
2021-02-02 00:37:30,1240
2021-02-02 00:38:30,1218
2021-02-02 00:39:30,1216
2021-02-02 00:40:30,1235
2021-02-02 00:41:30,1213
2021-02-02 00:42:30,1230
2021-02-02 00:43:30,1208
2021-02-02 00:44:30,1226
2021-02-02 00:45:30,1205
2021-02-02 00:46:31,1224
2021-02-02 00:47:31,1203
2021-02-02 00:48:31,1220
2021-02-02 00:49:31,1198
2021-02-02 00:50:31,1196
2021-02-02 00:51:31,1215
2021-02-02 00:52:31,1193
2021-02-02 00:53:31,1210
2021-02-02 00:54:31,1188
2021-02-02 00:55:31,1205
2021-02-02 00:56:32,1183
2021-02-02 00:57:32,1181
2021-02-02 00:58:32,1200
2021-02-02 00:59:32,1178
2021-02-02 01:00:32,1195
2021-02-02 01:01:32,1173
2021-02-02 01:02:32,1171
2021-02-02 01:03:32,1168
2021-02-02 01:04:33,1166
2021-02-02 01:05:33,1185
2021-02-02 01:06:33,1163
2021-02-02 01:07:33,1180
2021-02-02 01:08:33,1158
2021-02-02 01:09:33,1156
2021-02-02 01:10:33,1155
2021-02-02 01:11:33,1146
2021-02-02 01:12:33,1158
2021-02-02 01:13:34,1139
2021-02-02 01:14:34,1136
2021-02-02 01:15:34,1154
2021-02-02 01:16:34,1133
2021-02-02 01:17:34,1149
2021-02-02 01:18:34,1128
2021-02-02 01:19:34,1126
2021-02-02 01:20:34,1145
2021-02-02 01:21:34,1123
2021-02-02 01:22:35,1140
2021-02-02 01:23:35,1118
2021-02-02 01:24:35,1116
2021-02-02 01:25:35,1135
2021-02-02 01:26:35,1113
2021-02-02 01:27:35,1130
2021-02-02 01:28:35,1108
2021-02-02 01:29:35,1106
2021-02-02 01:30:36,1103
2021-02-02 01:31:36,1101
2021-02-02 01:32:36,1120
2021-02-02 01:33:36,1096
2021-02-02 01:34:36,1115
2021-02-02 01:35:36,1093
2021-02-02 01:36:36,1110
2021-02-02 01:37:36,1088
2021-02-02 01:38:36,1105
2021-02-02 01:39:37,1083
2021-02-02 01:40:37,1081
2021-02-02 01:41:37,1078
2021-02-02 01:42:37,1076
2021-02-02 01:43:37,1095
2021-02-02 01:44:37,1073
2021-02-02 01:45:37,1090
2021-02-02 01:46:37,1068
2021-02-02 01:47:37,1085
2021-02-02 01:48:38,1063
2021-02-02 01:49:38,1080
2021-02-02 01:50:38,1058
2021-02-02 01:51:38,1056
2021-02-02 01:52:38,1075
2021-02-02 01:53:38,1053
2021-02-02 01:54:39,1070
2021-02-02 01:55:39,1048
2021-02-02 01:56:39,1065
2021-02-02 01:57:39,1043
2021-02-02 01:58:39,1041
2021-02-02 01:59:39,1038
2021-02-02 02:00:39,1036
2021-02-02 02:01:39,1055
2021-02-02 02:02:40,1033
2021-02-02 02:02:40,1033
2021-02-02 02:03:40,1050
2021-02-02 02:04:40,1028
2021-02-02 02:04:40,1028
2021-02-02 02:05:40,1045
2021-02-02 02:05:40,1045
2021-02-02 02:06:40,1023
2021-02-02 02:07:40,1040
2021-02-02 02:08:40,1018
2021-02-02 02:09:40,1035
2021-02-02 02:10:41,1013
2021-02-02 02:11:41,1011
2021-02-02 02:11:41,1011
2021-02-02 02:12:41,1030
2021-02-02 02:13:41,1006
2021-02-02 02:14:41,1025
2021-02-02 02:15:41,1021
2021-02-02 02:15:41,1021
2021-02-02 02:15:41,1021
2021-02-02 02:16:41,1006
2021-02-02 02:16:41,1006
2021-02-02 02:16:41,1006
2021-02-02 02:16:41,1006
2021-02-02 02:16:41,1006
2021-02-02 02:17:41,1000
2021-02-02 02:17:41,1000
2021-02-02 02:17:41,1000
2021-02-02 02:17:41,1000
2021-02-02 02:17:41,1000
2021-02-02 02:18:42,1019
2021-02-02 02:18:42,1019
2021-02-02 02:18:42,1019
2021-02-02 02:18:42,1019
2021-02-02 02:18:42,1019
2021-02-02 02:19:42,998
2021-02-02 02:20:42,1015
2021-02-02 02:21:42,993
2021-02-02 02:22:42,1010
2021-02-02 02:23:42,988
2021-02-02 02:24:42,986
2021-02-02 02:25:42,1005
2021-02-02 02:26:43,983
2021-02-02 02:27:43,1000
2021-02-02 02:28:43,978
2021-02-02 02:29:43,995
2021-02-02 02:30:43,973
2021-02-02 02:31:43,971
2021-02-02 02:32:43,990
2021-02-02 02:33:43,968
2021-02-02 02:34:44,985
2021-02-02 02:35:44,963
2021-02-02 02:36:44,961
2021-02-02 02:37:44,958
2021-02-02 02:38:44,956
2021-02-02 02:39:44,975
2021-02-02 02:40:44,953
2021-02-02 02:41:44,970
2021-02-02 02:42:45,948
2021-02-02 02:43:45,965
2021-02-02 02:44:45,943
2021-02-02 02:45:45,941
2021-02-02 02:46:45,960
2021-02-02 02:47:45,936
2021-02-02 02:48:45,955
2021-02-02 02:49:45,933
2021-02-02 02:50:45,950
2021-02-02 02:51:46,928
2021-02-02 02:51:46,928
2021-02-02 02:51:46,928
2021-02-02 02:52:46,926
2021-02-02 02:53:46,923
2021-02-02 02:53:46,923
2021-02-02 02:53:46,923
2021-02-02 02:54:46,921
2021-02-02 02:54:46,921
2021-02-02 02:55:46,940
2021-02-02 02:56:46,918
2021-02-02 02:57:46,935
2021-02-02 02:58:46,913
2021-02-02 02:58:46,913
2021-02-02 02:58:46,913
2021-02-02 02:59:47,911
2021-02-02 02:59:47,911
2021-02-02 02:59:47,911
2021-02-02 03:00:47,930
2021-02-02 03:00:47,930
2021-02-02 03:00:47,930
2021-02-02 03:01:47,906
2021-02-02 03:01:47,906
2021-02-02 03:02:47,925
2021-02-02 03:03:47,903
2021-02-02 03:04:47,920
2021-02-02 03:05:47,898
2021-02-02 03:06:47,915
2021-02-02 03:07:48,893
2021-02-02 03:08:48,910
2021-02-02 03:09:48,888
2021-02-02 03:10:48,886
2021-02-02 03:11:48,883
2021-02-02 03:12:48,881
2021-02-02 03:13:48,900
2021-02-02 03:14:48,878
2021-02-02 03:15:49,895
2021-02-02 03:16:49,873
2021-02-02 03:17:49,890
2021-02-02 03:18:49,868
2021-02-02 03:19:49,866
2021-02-02 03:20:49,885
2021-02-02 03:21:49,861
2021-02-02 03:22:49,880
2021-02-02 03:23:50,858
2021-02-02 03:24:50,875
2021-02-02 03:25:50,853
2021-02-02 03:26:50,851
2021-02-02 03:27:50,870
2021-02-02 03:28:50,848
2021-02-02 03:29:50,865
2021-02-02 03:30:50,843
2021-02-02 03:31:51,860
2021-02-02 03:32:51,838
2021-02-02 03:33:51,836
2021-02-02 03:34:51,855
2021-02-02 03:35:51,833
2021-02-02 03:36:51,850
2021-02-02 03:37:52,828
2021-02-02 03:38:52,845
2021-02-02 03:39:52,823
2021-02-02 03:40:52,840
2021-02-02 03:41:52,818
2021-02-02 03:42:52,816
2021-02-02 03:43:53,813
2021-02-02 03:44:53,811
2021-02-02 03:45:53,830
2021-02-02 03:46:53,808
2021-02-02 03:47:53,825
2021-02-02 03:48:53,803
2021-02-02 03:49:53,820
2021-02-02 03:50:53,798
2021-02-02 03:51:54,815
2021-02-02 03:52:54,793
2021-02-02 03:53:54,810
2021-02-02 03:54:54,788
2021-02-02 03:55:54,786
2021-02-02 03:56:54,805
2021-02-02 03:57:54,781
2021-02-02 03:58:55,800
2021-02-02 03:59:55,778
2021-02-02 04:00:55,795
2021-02-02 04:01:55,773
2021-02-02 04:02:55,790
2021-02-02 04:03:55,768
2021-02-02 04:04:55,785
2021-02-02 04:05:55,783
2021-02-02 04:06:56,788
2021-02-02 04:07:56,770
2021-02-02 04:08:56,791
2021-02-02 04:09:56,772
2021-02-02 04:10:56,795
2021-02-02 04:11:56,777
2021-02-02 04:12:56,800
2021-02-02 04:13:56,782
2021-02-02 04:14:56,805
2021-02-02 04:15:57,815
2021-02-02 04:16:57,819
2021-02-02 04:17:57,829
2021-02-02 04:18:57,837
2021-02-02 04:19:57,823
2021-02-02 04:20:57,837
2021-02-02 04:21:57,824
2021-02-02 04:22:58,844
2021-02-02 04:23:58,821
2021-02-02 04:24:58,840
2021-02-02 04:25:58,819
2021-02-02 04:26:58,835
2021-02-02 04:27:58,814
2021-02-02 04:28:58,830
2021-02-02 04:29:59,809
2021-02-02 04:30:59,825
2021-02-02 04:31:59,804
2021-02-02 04:32:59,820
2021-02-02 04:33:59,819
2021-02-02 04:34:59,824
2021-02-02 04:35:59,805
2021-02-02 04:37:00,821
2021-02-02 04:38:00,821
2021-02-02 04:39:00,806
2021-02-02 04:40:00,826
2021-02-02 04:41:00,808
2021-02-02 04:42:00,831
2021-02-02 04:43:00,813
2021-02-02 04:44:00,829
2021-02-02 04:45:01,809
2021-02-02 04:46:01,825
2021-02-02 04:47:01,804
2021-02-02 04:48:01,820
2021-02-02 04:49:01,799
2021-02-02 04:50:01,822
2021-02-02 04:51:02,802
2021-02-02 04:52:02,826
2021-02-02 04:53:02,827
2021-02-02 04:54:02,840
2021-02-02 04:55:02,837
2021-02-02 04:56:02,848
2021-02-02 04:57:02,837
2021-02-02 04:58:03,855
2021-02-02 04:59:03,853
2021-02-02 05:00:03,840
2021-02-02 05:01:03,861
2021-02-02 05:02:03,845
2021-02-02 05:03:03,868
2021-02-02 05:04:03,850
2021-02-02 05:05:03,873
2021-02-02 05:06:04,883
2021-02-02 05:07:04,892
2021-02-02 05:08:04,902
2021-02-02 05:09:04,912
2021-02-02 05:10:04,922
2021-02-02 05:11:04,932
2021-02-02 05:12:04,937
2021-02-02 05:13:05,947
2021-02-02 05:14:05,947
2021-02-02 05:15:05,947
2021-02-02 05:16:05,961
2021-02-02 05:17:05,962
2021-02-02 05:18:05,962
2021-02-02 05:19:06,947
2021-02-02 05:20:06,962
2021-02-02 05:21:06,947
2021-02-02 05:22:06,969
2021-02-02 05:23:06,979
2021-02-02 05:24:06,968
2021-02-02 05:25:06,969
2021-02-02 05:26:07,990
2021-02-02 05:27:07,991
2021-02-02 05:28:07,979
2021-02-02 05:29:07,1000
2021-02-02 05:30:07,981
2021-02-02 05:31:07,986
2021-02-02 05:32:07,1009
2021-02-02 05:33:08,1019
2021-02-02 05:34:08,1028
2021-02-02 05:35:08,1038
2021-02-02 05:36:08,1048
2021-02-02 05:37:08,1063
2021-02-02 05:38:08,1073
2021-02-02 05:39:08,1088
2021-02-02 05:40:08,1093
2021-02-02 05:41:09,1105
2021-02-02 05:42:09,1115
2021-02-02 05:43:09,1123
2021-02-02 05:44:09,1128
2021-02-02 05:45:09,1140
2021-02-02 05:46:09,1155
2021-02-02 05:47:09,1165
2021-02-02 05:48:10,1180
2021-02-02 05:49:10,1195
2021-02-02 05:50:10,1205
2021-02-02 05:51:10,1215
2021-02-02 05:52:10,1230
2021-02-02 05:53:10,1240
2021-02-02 05:54:10,1250
2021-02-02 05:55:10,1265
2021-02-02 05:56:11,1275
2021-02-02 05:57:11,1290
2021-02-02 05:58:11,1286
2021-02-02 05:59:11,1286
2021-02-02 06:00:11,1301
2021-02-02 06:01:11,1306
2021-02-02 06:02:11,1311
2021-02-02 06:03:12,1314
2021-02-02 06:04:12,1320
2021-02-02 06:05:12,1325
2021-02-02 06:06:12,1341
2021-02-02 06:07:12,1356
2021-02-02 06:08:12,1371
2021-02-02 06:09:12,1386
2021-02-02 06:10:12,1406
2021-02-02 06:11:13,1421
2021-02-02 06:12:13,1436
2021-02-02 06:13:13,1451
2021-02-02 06:14:13,1466
2021-02-02 06:15:13,1481
2021-02-02 06:16:13,1496
2021-02-02 06:17:13,1511
2021-02-02 06:18:14,1531
2021-02-02 06:19:14,1546
2021-02-02 06:20:14,1561
2021-02-02 06:21:14,1565
2021-02-02 06:22:14,1565
2021-02-02 06:23:14,1566
2021-02-02 06:24:14,1565
2021-02-02 06:25:15,1588
2021-02-02 06:26:15,1580
2021-02-02 06:27:15,1583
2021-02-02 06:28:15,1601
2021-02-02 06:29:15,1615
2021-02-02 06:30:15,1621
2021-02-02 06:31:15,1621
2021-02-02 06:32:15,1628
2021-02-02 06:33:16,1640
2021-02-02 06:34:16,1659
2021-02-02 06:35:16,1669
2021-02-02 06:36:16,1678
2021-02-02 06:37:16,1700
2021-02-02 06:38:16,1706
2021-02-02 06:39:16,1713
2021-02-02 06:40:17,1705
2021-02-02 06:41:17,1735
2021-02-02 06:42:17,1743
2021-02-02 06:43:17,1759
2021-02-02 06:44:17,1774
2021-02-02 06:45:17,1781
2021-02-02 06:46:17,1790
2021-02-02 06:47:18,1784
2021-02-02 06:48:18,1808
2021-02-02 06:49:18,1818
2021-02-02 06:50:18,1834
2021-02-02 06:51:18,1846
2021-02-02 06:52:18,1835
2021-02-02 06:53:18,1865
2021-02-02 06:54:18,1884
2021-02-02 06:55:19,1893
2021-02-02 06:56:19,1905
2021-02-02 06:57:19,1893
2021-02-02 06:58:19,1917
2021-02-02 06:59:19,1925
2021-02-02 07:00:19,1930
2021-02-02 07:01:20,1937
2021-02-02 07:02:20,1945
2021-02-02 07:03:20,1950
2021-02-02 07:04:20,1962
2021-02-02 07:05:20,1975
2021-02-02 07:06:20,1970
2021-02-02 07:07:20,2000
2021-02-02 07:08:21,2011
2021-02-02 07:09:21,2012
2021-02-02 07:10:21,2010
2021-02-02 07:11:21,2013
2021-02-02 07:12:21,2014
2021-02-02 07:13:21,2000
2021-02-02 07:17:22,2000
2021-02-02 07:18:22,2014
2021-02-02 07:19:22,2015
2021-02-02 07:20:22,2010
2021-02-02 07:21:23,2018
2021-02-02 07:22:23,2000
2021-02-02 07:23:23,2000
2021-02-02 07:24:23,2000
2021-02-02 07:25:23,2002
2021-02-02 07:26:23,2021
2021-02-02 07:27:23,2018
2021-02-02 07:28:23,2020
2021-02-02 07:29:23,2006
2021-02-02 07:30:23,2016
2021-02-02 07:31:24,2021
2021-02-02 07:32:24,2018
2021-02-02 07:33:24,2020
2021-02-02 07:34:24,2007
2021-02-02 07:35:24,2031
2021-02-02 07:36:24,2028
2021-02-02 07:37:24,2028
2021-02-02 07:38:24,2003
2021-02-02 07:39:24,2008
2021-02-02 07:40:24,2028
2021-02-02 07:41:25,2025
2021-02-02 07:42:25,2030
2021-02-02 07:43:25,2017
2021-02-02 07:44:25,2023
2021-02-02 07:45:25,2043
2021-02-02 07:46:25,2050
2021-02-02 07:47:25,2037
2021-02-02 07:48:25,2043
