"Time","salzano_ingrid_robegano_MASSFLOW"
2021-02-01 17:25:32,2000
2021-02-01 17:26:32,2015
2021-02-01 17:27:32,2002
2021-02-01 17:28:33,2000
2021-02-01 17:29:33,2017
2021-02-01 17:29:33,2017
2021-02-01 17:30:33,2000
2021-02-01 17:32:33,2000
2021-02-01 17:33:33,2000
2021-02-01 17:34:34,2020
2021-02-01 17:35:34,2018
2021-02-01 17:36:34,2000
2021-02-01 17:39:34,2000
2021-02-01 17:40:34,2015
2021-02-01 17:41:34,2002
2021-02-01 17:42:35,2000
2021-02-01 17:45:35,2000
2021-02-01 17:46:35,2015
2021-02-01 17:47:35,2000
2021-02-01 17:48:35,2013
2021-02-01 17:49:35,2000
2021-02-01 17:52:36,2000
2021-02-01 17:53:36,2018
2021-02-01 17:54:36,2016
2021-02-01 17:55:36,2000
2021-02-01 17:56:36,2002
2021-02-01 17:57:36,2000
2021-02-01 17:58:37,2015
2021-02-01 17:59:37,2015
2021-02-01 18:00:37,2015
2021-02-01 18:01:37,2002
2021-02-01 18:02:37,2001
2021-02-01 18:03:37,2016
2021-02-01 18:04:37,2024
2021-02-01 18:05:38,2029
2021-02-01 18:06:38,2026
2021-02-01 18:07:38,2006
2021-02-01 18:08:38,2006
2021-02-01 18:09:38,2032
2021-02-01 18:10:39,2029
2021-02-01 18:11:39,2034
2021-02-01 18:12:39,2020
2021-02-01 18:13:39,2015
2021-02-01 18:14:39,2037
2021-02-01 18:15:39,2034
2021-02-01 18:16:40,2021
2021-02-01 18:17:40,2016
2021-02-01 18:18:40,2037
2021-02-01 18:19:40,2022
2021-02-01 18:20:40,2041
2021-02-01 18:21:40,2028
2021-02-01 18:22:40,2054
2021-02-01 18:23:40,2052
2021-02-01 18:24:41,2058
2021-02-01 18:25:41,2036
2021-02-01 18:26:41,2036
2021-02-01 18:27:41,2031
2021-02-01 18:28:41,2052
2021-02-01 18:29:41,2057
2021-02-01 18:30:41,2054
2021-02-01 18:31:41,2041
2021-02-01 18:32:42,2035
2021-02-01 18:33:42,2054
2021-02-01 18:34:42,2051
2021-02-01 18:35:42,2038
2021-02-01 18:36:42,2039
2021-02-01 18:37:42,2041
2021-02-01 18:38:42,2053
2021-02-01 18:39:42,2035
2021-02-01 18:40:43,2060
2021-02-01 18:41:43,2042
2021-02-01 18:42:43,2034
2021-02-01 18:43:43,2054
2021-02-01 18:44:43,2053
2021-02-01 18:45:43,2052
2021-02-01 18:46:43,2035
2021-02-01 18:47:44,2050
2021-02-01 18:48:44,2041
2021-02-01 18:49:44,2068
2021-02-01 18:50:44,2058
2021-02-01 18:51:44,2060
2021-02-01 18:52:44,2055
2021-02-01 18:53:44,2080
2021-02-01 18:54:44,2084
2021-02-01 18:55:45,2070
2021-02-01 18:56:45,2074
2021-02-01 18:57:45,2071
2021-02-01 18:58:45,2098
2021-02-01 18:59:45,2103
2021-02-01 19:00:45,2081
2021-02-01 19:01:46,2109
2021-02-01 19:02:46,2113
2021-02-01 19:03:46,2100
2021-02-01 19:04:46,2127
2021-02-01 19:05:46,2129
2021-02-01 19:06:46,2134
2021-02-01 19:07:46,2120
2021-02-01 19:08:46,2124
2021-02-01 19:09:47,2139
2021-02-01 19:10:47,2144
2021-02-01 19:11:47,2130
2021-02-01 19:12:47,2134
2021-02-01 19:13:47,2156
2021-02-01 19:14:47,2163
2021-02-01 19:15:47,2141
2021-02-01 19:16:48,2141
2021-02-01 19:17:48,2136
2021-02-01 19:18:48,2157
2021-02-01 19:19:48,2157
2021-02-01 19:20:48,2153
2021-02-01 19:21:48,2146
2021-02-01 19:22:49,2149
2021-02-01 19:23:49,2152
2021-02-01 19:24:49,2126
2021-02-01 19:25:49,2143
2021-02-01 19:26:49,2131
2021-02-01 19:27:49,2145
2021-02-01 19:28:49,2147
2021-02-01 19:29:50,2143
2021-02-01 19:30:50,2136
2021-02-01 19:31:50,2119
2021-02-01 19:32:50,2117
2021-02-01 19:33:50,2133
2021-02-01 19:34:50,2128
2021-02-01 19:35:50,2113
2021-02-01 19:36:51,2120
2021-02-01 19:37:51,2105
2021-02-01 19:38:51,2100
2021-02-01 19:39:51,2113
2021-02-01 19:40:51,2114
2021-02-01 19:41:51,2091
2021-02-01 19:42:51,2086
2021-02-01 19:43:52,2086
2021-02-01 19:44:52,2100
2021-02-01 19:45:52,2102
2021-02-01 19:46:52,2076
2021-02-01 19:47:52,2071
2021-02-01 19:48:52,2071
2021-02-01 19:49:53,2066
2021-02-01 19:50:53,2087
2021-02-01 19:51:53,2083
2021-02-01 19:52:53,2056
2021-02-01 19:53:53,2071
2021-02-01 19:54:53,2051
2021-02-01 19:55:53,2046
2021-02-01 19:56:54,2039
2021-02-01 19:57:54,2053
2021-02-01 19:58:54,2048
2021-02-01 19:59:54,2021
2021-02-01 20:00:54,2029
2021-02-01 20:01:54,2006
2021-02-01 20:02:54,2000
2021-02-01 20:03:55,2016
2021-02-01 20:04:55,2015
2021-02-01 20:05:55,2013
2021-02-01 20:06:55,2000
2021-02-01 20:07:55,2010
2021-02-01 20:08:55,2000
2021-02-01 20:10:56,2000
2021-02-01 20:11:56,2015
2021-02-01 20:12:56,2013
2021-02-01 20:13:56,2000
2021-02-01 20:14:56,2010
2021-02-01 20:15:57,2013
2021-02-01 20:16:57,2000
2021-02-01 20:18:57,2000
2021-02-01 20:19:57,2014
2021-02-01 20:20:57,2015
2021-02-01 20:21:58,2013
2021-02-01 20:22:58,1995
2021-02-01 20:23:58,2008
2021-02-01 20:24:58,2013
2021-02-01 20:25:58,2000
2021-02-01 20:26:58,2000
2021-02-01 20:27:58,1995
2021-02-01 20:28:59,2000
2021-02-01 20:29:59,1994
2021-02-01 20:30:59,2014
2021-02-01 20:31:59,2015
2021-02-01 20:32:59,2000
2021-02-01 20:33:59,2010
2021-02-01 20:34:59,2013
2021-02-01 20:35:59,2000
2021-02-01 20:38:00,2000
2021-02-01 20:39:00,1995
2021-02-01 20:40:00,2000
2021-02-01 20:41:00,2015
2021-02-01 20:42:00,2013
2021-02-01 20:43:00,2013
2021-02-01 20:44:01,2008
2021-02-01 20:45:01,2003
2021-02-01 20:46:01,1985
2021-02-01 20:47:01,1985
2021-02-01 20:48:01,1977
2021-02-01 20:49:01,1972
2021-02-01 20:50:01,1967
2021-02-01 20:51:02,1962
2021-02-01 20:52:02,1957
2021-02-01 20:53:02,1952
2021-02-01 20:54:02,1968
2021-02-01 20:55:02,1963
2021-02-01 20:56:02,1958
2021-02-01 20:57:02,1935
2021-02-01 20:58:03,1928
2021-02-01 20:59:03,1922
2021-02-01 21:00:03,1917
2021-02-01 21:01:03,1933
2021-02-01 21:02:03,1928
2021-02-01 21:03:04,1923
2021-02-01 21:04:04,1900
2021-02-01 21:05:04,1895
2021-02-01 21:06:04,1892
2021-02-01 21:07:04,1887
2021-02-01 21:08:05,1882
2021-02-01 21:09:05,1877
2021-02-01 21:10:05,1893
2021-02-01 21:11:05,1888
2021-02-01 21:12:05,1883
2021-02-01 21:13:05,1860
2021-02-01 21:14:05,1870
2021-02-01 21:15:06,1868
2021-02-01 21:15:06,1868
2021-02-01 21:16:06,1863
2021-02-01 21:17:06,1840
2021-02-01 21:17:06,1840
2021-02-01 21:18:06,1835
2021-02-01 21:18:06,1835
2021-02-01 21:19:06,1832
2021-02-01 21:19:06,1832
2021-02-01 21:20:06,1827
2021-02-01 21:21:06,1843
2021-02-01 21:22:06,1838
2021-02-01 21:23:06,1815
2021-02-01 21:24:07,1812
2021-02-01 21:25:07,1807
2021-02-01 21:26:07,1823
2021-02-01 21:27:07,1818
2021-02-01 21:28:07,1795
2021-02-01 21:29:07,1792
2021-02-01 21:30:07,1787
2021-02-01 21:31:08,1782
2021-02-01 21:32:08,1798
2021-02-01 21:33:08,1793
2021-02-01 21:34:08,1770
2021-02-01 21:35:08,1767
2021-02-01 21:36:08,1762
2021-02-01 21:37:08,1778
2021-02-01 21:38:08,1773
2021-02-01 21:39:08,1750
2021-02-01 21:40:08,1747
2021-02-01 21:41:09,1742
2021-02-01 21:42:09,1758
2021-02-01 21:43:09,1753
2021-02-01 21:44:09,1732
2021-02-01 21:45:09,1727
2021-02-01 21:46:09,1723
2021-02-01 21:47:09,1718
2021-02-01 21:48:09,1712
2021-02-01 21:49:09,1728
2021-02-01 21:50:10,1723
2021-02-01 21:51:10,1702
2021-02-01 21:52:10,1697
2021-02-01 21:53:10,1713
2021-02-01 21:54:10,1690
2021-02-01 21:55:10,1687
2021-02-01 21:56:10,1703
2021-02-01 21:57:10,1698
2021-02-01 21:58:10,1677
2021-02-01 21:59:10,1672
2021-02-01 22:00:11,1688
2021-02-01 22:01:11,1665
2021-02-01 22:02:11,1662
2021-02-01 22:03:11,1678
2021-02-01 22:04:11,1655
2021-02-01 22:05:11,1652
2021-02-01 22:06:11,1668
2021-02-01 22:07:11,1645
2021-02-01 22:08:11,1642
2021-02-01 22:09:11,1658
2021-02-01 22:10:12,1635
2021-02-01 22:11:12,1632
2021-02-01 22:12:12,1648
2021-02-01 22:13:12,1625
2021-02-01 22:14:12,1622
2021-02-01 22:15:12,1638
2021-02-01 22:16:12,1617
2021-02-01 22:17:12,1633
2021-02-01 22:18:12,1610
2021-02-01 22:19:12,1607
2021-02-01 22:20:13,1623
2021-02-01 22:21:13,1602
2021-02-01 22:22:13,1618
2021-02-01 22:23:13,1595
2021-02-01 22:24:13,1592
2021-02-01 22:25:13,1608
2021-02-01 22:26:13,1585
2021-02-01 22:27:13,1582
2021-02-01 22:28:13,1598
2021-02-01 22:29:14,1577
2021-02-01 22:30:14,1593
2021-02-01 22:31:14,1570
2021-02-01 22:32:14,1588
2021-02-01 22:33:14,1565
2021-02-01 22:34:14,1562
2021-02-01 22:35:14,1578
2021-02-01 22:36:15,1557
2021-02-01 22:37:15,1573
2021-02-01 22:38:15,1550
2021-02-01 22:39:15,1547
2021-02-01 22:40:15,1563
2021-02-01 22:41:15,1542
2021-02-01 22:42:15,1558
2021-02-01 22:43:15,1555
2021-02-01 22:44:15,1540
2021-02-01 22:45:16,1553
2021-02-01 22:46:16,1530
2021-02-01 22:47:16,1548
2021-02-01 22:48:16,1525
2021-02-01 22:49:16,1522
2021-02-01 22:50:16,1520
2021-02-01 22:51:16,1517
2021-02-01 22:52:16,1533
2021-02-01 22:53:17,1512
2021-02-01 22:54:17,1528
2021-02-01 22:55:17,1507
2021-02-01 22:56:17,1523
2021-02-01 22:57:17,1500
2021-02-01 22:58:17,1497
2021-02-01 22:59:17,1495
2021-02-01 23:00:17,1492
2021-02-01 23:01:17,1508
2021-02-01 23:02:17,1487
2021-02-01 23:03:18,1503
2021-02-01 23:04:18,1482
2021-02-01 23:05:18,1498
2021-02-01 23:06:18,1477
2021-02-01 23:07:18,1493
2021-02-01 23:08:18,1472
2021-02-01 23:09:18,1488
2021-02-01 23:10:18,1467
2021-02-01 23:11:19,1483
2021-02-01 23:12:19,1462
2021-02-01 23:13:19,1478
2021-02-01 23:14:19,1457
