Time [s],Pressure [mbar],N injection,Time opening [ms],Tau injection [ms],Mass [g]
1619424498.65231,284.5625,62,10,100,0.295
1619424501.24901,284.4375,87,10,100,0.525
1619424503.84745,284.3125,113,10,100,0.854
1619424506.43332,284.1875,139,10,100,1.04
1619424509.03509,284,165,10,100,1.281
1619424511.63694,283.875,190,10,100,1.624
1619424514.23164,283.6875,216,10,100,1.808
1619424516.82665,283.5625,242,10,100,2.049
1619424519.42723,283.375,268,10,100,2.261
1619424522.02288,283.1875,293,10,100,2.598
1619424524.61731,283,319,10,100,2.792
1619424527.21866,282.75,345,10,100,3.027
1619424529.81747,282.5625,371,10,100,3.322
1619424532.40834,282.375,396,10,100,3.558
1619424535.00468,282.1875,422,10,100,3.785
1619424537.61219,282.0625,448,10,100,4.119
1619424540.20113,281.875,473,10,100,4.305
1619424542.79572,281.6875,498,10,100,4.518
1619424545.39141,281.5625,524,10,100,4.858
1619424547.99628,281.375,550,10,100,5.058
1619424550.59197,281.1875,575,10,100,5.277
1619424553.18747,281,601,10,100,5.647
1619424555.81319,280.8125,628,10,100,5.826
1619424558.43001,280.625,654,10,100,6.044
1619424561.03152,280.4375,679,10,100,6.231
1619424563.62506,280.25,705,10,100,6.576
1619424566.22552,280.0625,731,10,100,6.812
1619424568.82211,279.875,757,10,100,7
1619424571.41991,279.6875,782,10,100,7.334
1619424574.01291,279.5,808,10,100,7.551
1619424576.61058,279.25,834,10,100,7.766
1619424579.20596,279.0625,860,10,100,7.973
1619424581.83864,278.875,885,10,100,8.294
1619424584.45616,278.6875,911,10,100,8.52
1619424587.04894,278.5625,937,10,100,8.727
1619424589.64955,278.375,963,10,100,9.068
1619424592.24269,278.25,988,10,100,9.266
1619424594.87715,278.0625,1014,10,100,9.48
1619424597.48863,277.875,1040,10,100,9.821
1619424600.08907,277.6875,1066,10,100,10.017
1619424602.68368,277.5625,1091,10,100,10.238
1619424605.27954,277.375,1117,10,100,10.587
1619424607.9104,277.1875,1144,10,100,10.761
1619424610.52475,277,1170,10,100,10.986
1619424613.12008,276.75,1195,10,100,11.223
1619424615.71608,276.5625,1221,10,100,11.517
1619424618.31384,276.375,1247,10,100,11.756
1619424620.91065,276.1875,1272,10,100,11.976
1619424623.51108,276,1298,10,100,12.267
1619424626.10584,275.8125,1324,10,100,12.496
1619424628.70477,275.5625,1350,10,100,12.687
1619424631.30379,275.375,1375,10,100,13.022
1619424633.89741,275.125,1400,10,100,13.215
1619424636.49473,274.9375,1426,10,100,13.439
1619424639.08593,274.75,1452,10,100,13.678
1619424641.69373,274.625,1477,10,100,13.994
1619424644.28206,274.375,1503,10,100,14.218
1619424646.88718,274.25,1529,10,100,14.4
1619424649.48584,274,1555,10,100,14.652
1619424652.08121,273.875,1580,10,100,14.978
1619424654.68456,273.75,1606,10,100,15.177
1619424657.26775,273.5625,1632,10,100,15.405
1619424659.874,273.375,1658,10,100,15.728
1619424662.46413,273.25,1683,10,100,15.913
1619424665.06266,273.0625,1709,10,100,16.132
1619424667.6571,272.875,1735,10,100,16.373
1619424670.25756,272.75,1761,10,100,16.663
1619424672.86481,272.5625,1786,10,100,16.891
1619424675.44674,272.375,1812,10,100,17.11
1619424678.05276,272.1875,1838,10,100,17.408
1619424680.6437,272,1864,10,100,17.621
1619424683.24311,271.8125,1889,10,100,17.841
1619424685.86803,271.625,1915,10,100,18.171
1619424688.48705,271.375,1941,10,100,18.368
1619424691.08334,271.25,1967,10,100,18.592
1619424693.68583,271.0625,1992,10,100,18.785
1619424696.2783,270.875,2018,10,100,19.114
1619424698.90858,270.6875,2045,10,100,19.337
1619424701.52525,270.5,2071,10,100,19.566
1619424704.11819,270.375,2096,10,100,19.868
1619424706.72282,270.1875,2122,10,100,20.086
1619424709.30994,270,2148,10,100,20.297
1619424711.92528,269.8125,2173,10,100,20.594
1619424714.56292,269.6875,2199,10,100,20.823
1619424717.15634,269.4375,2225,10,100,21
1619424719.75423,269.25,2251,10,100,21.37
1619424722.35011,269.0625,2276,10,100,21.565
1619424724.94629,268.875,2302,10,100,21.747
1619424727.54362,268.75,2328,10,100,21.962
1619424730.14274,268.5625,2354,10,100,22.292
1619424732.74318,268.375,2379,10,100,22.512
1619424735.33449,268.1875,2405,10,100,22.704
1619424737.93589,268,2431,10,100,23.014
1619424740.53437,267.8125,2457,10,100,23.241
1619424743.12659,267.625,2482,10,100,23.421
1619424745.72108,267.4375,2508,10,100,23.769
1619424748.32202,267.25,2534,10,100,23.959
1619424750.91936,267.0625,2560,10,100,24.17
1619424753.51431,266.875,2585,10,100,24.41
1619424756.10955,266.75,2611,10,100,24.718
