Time [s],Pressure [mbar],N injection,Time opening [ms],Tau injection [ms],Mass [g]
1619784007.00125,1835.25,192,5,5000,2.512
1619784009.59743,1835.25,193,5,5000,2.593
1619784012.19925,1835.25,193,5,5000,2.593
1619784014.78801,1835.25,194,5,5000,2.593
1619784017.39052,1835.25,194,5,5000,2.593
1619784019.98762,1835.25,195,5,5000,2.593
1619784022.5787,1834.875,195,5,5000,2.593
1619784025.17613,1835.25,196,5,5000,2.593
1619784027.77354,1835.25,196,5,5000,2.593
1619784030.37569,1834.875,197,5,5000,2.593
1619784032.96987,1834.875,197,5,5000,2.593
1619784035.56535,1834.875,198,5,5000,2.592
1619784038.17188,1834.875,198,5,5000,2.683
1619784040.76203,1834.875,199,5,5000,2.676
1619784043.36494,1835.25,199,5,5000,2.676
1619784045.95445,1834.875,200,5,5000,2.676
1619784048.55432,1834.875,200,5,5000,2.676
1619784051.15015,1834.875,201,5,5000,2.676
1619784053.74302,1834.875,201,5,5000,2.676
1619784056.347,1834.875,202,5,5000,2.676
1619784058.94184,1834.875,202,5,5000,2.675
1619784061.53596,1834.875,203,5,5000,2.675
1619784064.13494,1834.875,203,5,5000,2.675
1619784066.73346,1834.875,204,5,5000,2.675
1619784069.33358,1834.875,204,5,5000,2.761
1619784071.93058,1834.875,205,5,5000,2.76
1619784074.52604,1834.875,205,5,5000,2.76
1619784077.12659,1834.875,206,5,5000,2.76
1619784079.73409,1834.875,207,5,5000,2.76
1619784082.36636,1834.875,207,5,5000,2.76
1619784084.96003,1834.875,208,5,5000,2.76
1619784087.55562,1834.875,208,5,5000,2.76
1619784090.15775,1834.875,209,5,5000,2.759
1619784092.75537,1834.875,209,5,5000,2.759
1619784095.35281,1834.875,210,5,5000,2.841
1619784097.94758,1834.875,210,5,5000,2.841
1619784100.54806,1834.875,211,5,5000,2.841
1619784103.13691,1834.875,211,5,5000,2.84
1619784105.73007,1834.50012207031,212,5,5000,2.841
1619784108.33909,1834.875,212,5,5000,2.84
1619784110.93189,1834.50012207031,213,5,5000,2.84
1619784113.52613,1834.50012207031,213,5,5000,2.84
1619784116.13009,1834.875,214,5,5000,2.84
1619784118.73233,1834.50012207031,214,5,5000,2.84
1619784121.324,1834.50012207031,215,5,5000,2.839
1619784123.92074,1834.875,215,5,5000,2.92
1619784126.51965,1834.875,216,5,5000,2.92
1619784129.11087,1834.875,216,5,5000,2.92
1619784131.71279,1834.50012207031,217,5,5000,2.92
1619784134.30936,1834.875,217,5,5000,2.92
1619784136.9067,1834.50012207031,218,5,5000,2.92
1619784139.50295,1834.50012207031,218,5,5000,2.92
1619784142.09761,1834.50012207031,219,5,5000,2.919
1619784144.69309,1834.875,220,5,5000,2.919
1619784147.29468,1834.50012207031,220,5,5000,2.919
1619784149.89057,1834.50012207031,221,5,5000,2.919
1619784152.48621,1834.50012207031,221,5,5000,2.919
1619784155.08568,1834.50012207031,222,5,5000,3.003
1619784157.67593,1834.50012207031,222,5,5000,3.003
1619784160.2761,1834.50012207031,223,5,5000,3.003
1619784162.87496,1834.50012207031,223,5,5000,3.003
1619784165.47355,1834.50012207031,224,5,5000,3.003
1619784168.07578,1834.50012207031,224,5,5000,3.003
1619784170.66,1834.50012207031,225,5,5000,3.003
1619784173.27112,1834.50012207031,225,5,5000,3.003
1619784175.86411,1834.50012207031,226,5,5000,3.003
1619784178.45541,1834.50012207031,226,5,5000,3.003
1619784181.0584,1834.50012207031,227,5,5000,3.004
1619784183.65491,1834.50012207031,227,5,5000,3.084
1619784186.25171,1834.50012207031,228,5,5000,3.084
1619784188.84805,1834.50012207031,228,5,5000,3.084
1619784191.44617,1834.50012207031,229,5,5000,3.084
1619784194.04314,1834.12487792969,229,5,5000,3.084
1619784196.66552,1834.12487792969,230,5,5000,3.083
1619784199.28883,1834.50012207031,230,5,5000,3.083
1619784201.88237,1834.12487792969,231,5,5000,3.083
1619784204.48031,1834.50012207031,231,5,5000,3.083
1619784207.08112,1834.12487792969,232,5,5000,3.083
1619784209.67035,1834.12487792969,233,5,5000,3.165
1619784212.27733,1834.12487792969,233,5,5000,3.165
1619784214.8701,1834.12487792969,234,5,5000,3.165
1619784217.46954,1834.12487792969,234,5,5000,3.165
1619784220.06231,1834.12487792969,235,5,5000,3.165
1619784222.65606,1833.75,235,5,5000,3.165
1619784225.2611,1834.12487792969,236,5,5000,3.164
1619784227.85274,1834.12487792969,236,5,5000,3.164
1619784230.48322,1834.12487792969,237,5,5000,3.164
1619784233.09758,1834.12487792969,237,5,5000,3.164
1619784235.69604,1834.12487792969,238,5,5000,3.164
1619784238.29485,1833.75,238,5,5000,3.251
1619784240.89063,1834.12487792969,239,5,5000,3.249
1619784243.48498,1834.12487792969,239,5,5000,3.249
1619784246.08003,1834.12487792969,240,5,5000,3.249
1619784248.68033,1834.12487792969,240,5,5000,3.249
1619784251.28214,1834.12487792969,241,5,5000,3.249
1619784253.8757,1833.75,241,5,5000,3.249
1619784256.49714,1833.75,242,5,5000,3.249
1619784259.11817,1834.12487792969,242,5,5000,3.249
1619784261.71369,1834.12487792969,243,5,5000,3.249
1619784264.31565,1834.12487792969,243,5,5000,3.249
1619784266.91514,1834.12487792969,244,5,5000,3.249
1619784269.50761,1833.75,244,5,5000,3.335
1619784272.11107,1833.75,245,5,5000,3.334
1619784277.30232,1833.75,246,5,5000,3.334
1619784279.89661,1834.12487792969,247,5,5000,3.334
1619784282.49639,1833.75,247,5,5000,3.334
1619784285.09023,1833.75,248,5,5000,3.334
1619784287.68316,1833.75,248,5,5000,3.334
1619784290.28592,1833.75,249,5,5000,3.334
1619784292.88464,1833.75,249,5,5000,3.334
1619784295.48097,1833.75,250,5,5000,3.414
1619784298.07769,1833.75,250,5,5000,3.414
1619784300.68492,1833.75,251,5,5000,3.414
1619784303.31928,1833.75,251,5,5000,3.414
1619784305.91824,1833.75,252,5,5000,3.413
