Time [s],Pressure [mbar],N injection,Time opening [ms],Mass [g]
1618828438.6859,454.25,3641,5,26.658
1618828441.33308,454.0625,3666,5,26.85
1618828443.96099,453.875,3692,5,27.01
1618828446.64897,453.6875,3719,5,27.264
1618828449.33522,453.4375,3746,5,27.419
1618828452.03766,453.1875,3772,5,27.606
1618828454.71745,453,3799,5,27.795
1618828457.38309,452.75,3825,5,27.954
1618828460.08587,452.625,3853,5,28.217
1618828462.75729,452.375,3878,5,28.375
1618828468.05231,451.9375,3931,5,28.825
1618828470.6895,451.8125,3958,5,28.991
1618828473.34254,451.5,3983,5,29.153
1618828475.99153,451.375,4010,5,29.411
1618828478.64838,451.25,4036,5,29.565
1618828481.28769,451,4063,5,29.752
1618828483.93628,450.75,4088,5,29.984
1618828489.19939,450.375,4141,5,30.329
1618828491.8888,450.1875,4167,5,30.485
1618828494.58963,450,4194,5,30.724
1618828497.28577,449.75,4221,5,30.894
1618828499.99067,449.5625,4248,5,31.081
1618828502.67261,449.5,4273,5,31.287
1618828505.30495,449.1875,4300,5,31.471
1618828507.95783,448.9375,4326,5,31.663
1618828510.61234,448.75,4353,5,31.879
1618828513.26418,448.625,4378,5,32.061
1618828515.96783,448.375,4405,5,32.219
1618828518.69512,448.1875,4433,5,32.47
1618828521.34841,448,4459,5,32.634
1618828523.97698,447.8125,4484,5,32.86
1618828526.64472,447.625,4511,5,33.054
1618828529.28252,447.3125,4537,5,33.239
1618828531.92371,447.1875,4563,5,33.396
1618828534.57818,447,4589,5,33.592
1618828537.22522,446.8125,4616,5,33.81
1618828542.51748,446.4375,4668,5,34.218
1618828545.16822,446.3125,4694,5,34.458
1618828547.82033,446,4721,5,34.615
1618828550.46154,445.875,4747,5,34.8
1618828553.10954,445.5,4773,5,34.963
1618828555.75926,445.3125,4799,5,35.203
1618828558.40376,445.25,4826,5,35.379
1618828561.05352,445,4852,5,35.589
1618828563.69577,444.75,4878,5,35.746
1618828566.3407,444.625,4904,5,35.931
1618828569.00434,444.375,4931,5,36.084
1618828571.72764,444.1875,4958,5,36.273
1618828574.38415,444,4984,5,36.506
1618828577.03222,443.8125,5010,5,36.675
1618828579.68102,443.5,5036,5,36.895
1618828582.33369,443.4375,5063,5,37.042
1618828584.97706,443.1875,5088,5,37.29
1618828587.62819,443.0625,5115,5,37.475
1618828590.26888,442.875,5141,5,37.631
1618828592.91988,442.625,5167,5,37.881
1618828595.56663,442.5,5193,5,38.035
1618828598.21215,442.1875,5220,5,38.22
